n,url,label,description
166,"louisiana-law-does-not-infringe-upon-the-14th-amendment?partial=33708&level=0","Massachusetts court ruled that schoolboards have ability to make exclusive schools for black children, therefore keeping races separate",""
167,"louisiana-law-does-not-infringe-upon-the-14th-amendment?partial=33712&level=0","'Colored' races are inferior because they give themselves that label",""
168,"madisons-refusal-to-deliver-is-illegal-and-marburys-jump-straight-to-the-supreme-court-is-unconstitutional?partial=33790&level=0","Having a signed commission and the refusal to deliver is a clear violation of Marbury's right to have the commission, He then deserves a remedy",""
169,"madisons-refusal-to-deliver-is-illegal-and-marburys-jump-straight-to-the-supreme-court-is-unconstitutional?partial=33794&level=0","Then the law must be discharged and it is unconstitutional to jump straight to the Supreme Court",""
170,"new-jersey-was-not-in-violation-of-the-establishment-clause?partial=33778&level=0","the transportation to the school did not support or fund the academics of the religious schools.",""
171,"new-jersey-was-not-in-violation-of-the-establishment-clause?partial=33782&level=0","New Jersey was not providing financial assistance to the religious schools. Instead, they were providing the same transportation costs to all schools in the area.",""
172,"protest-and-hate-speech-is-shielded-by-the-first-amendment-snyder-v-phelps?partial=33881&level=0","Limiting/restraining a person's voice goes against everything the First Amendment represents.",""
173,"separate-educational-facilities-for-different-races-are-inherently-unequal?partial=33889&level=0","Education has become one of the most important functions of state and local governments.",""
174,"a-bd44d5f412d543d1a4d4a43165e9fd86?partial=33945&level=0","Micromanaging our military assets abroad humiliates our allies",""
175,"a-bd44d5f412d543d1a4d4a43165e9fd86?partial=33949&level=0","America will become the leader it should have been",""
176,"louisiana-law-does-not-infringe-upon-the-14th-amendment?partial=33709&level=0","African-Americans are granted political equality, as protected and shown by the Supreme Court in previous cases",""
177,"louisiana-law-does-not-infringe-upon-the-14th-amendment?partial=33711&level=0","Law preserves social norms and preserves public order and peace",""
178,"separate-educational-facilities-for-different-races-are-inherently-unequal?partial=33890&level=0","Compulsory school attendance laws have gone into effect to enhance the importance of educating the youth of the country.",""
179,"separate-educational-facilities-for-different-races-are-inherently-unequal?partial=33892&level=0","In order for children to succeed in life, they need to get a quality education.",""
180,"louisiana-law-does-not-infringe-upon-the-14th-amendment?partial=33710&level=0","This same concept does not apply to SOCIAL protection, or what happens in a local community atmosphere",""
181,"louisiana-law-does-not-infringe-upon-the-14th-amendment?partial=33713&level=0","Social equality between Whites and Blacks must come naturally and voluntarily, and not through legislation",""
182,"separate-educational-facilities-for-different-races-are-inherently-unequal?partial=33893&level=0","As the Board of Education of Topeka's policies currently state, there is no level of equality amongst all children.",""
183,"louisiana-law-does-not-infringe-upon-the-14th-amendment?partial=33714&level=0","African Americans are not deemed equal to Whites socially, and therefore the Constitution cannot protect them at the same level as Whites",""
