,class,n1,n2
4302,1,33986,33427
4303,-1,28223,26270
4304,1,1863,287
4305,1,28075,26640
4306,-1,16026,14633
4307,1,22841,20404
4308,-1,30235,28484
4309,-1,22613,21013
4310,1,28490,27410
4311,-1,25167,23399
4312,-1,5873,2032
4313,1,33072,32821
4314,-1,27464,26021
4315,1,11742,7896
4316,-1,10139,8639
4317,1,10052,9021
4318,1,22947,21865
4319,1,29028,27886
4320,1,34124,33439
4321,1,25617,23836
4322,1,25928,22976
4323,-1,25654,24221
4324,-1,31376,30948
4325,1,33673,33289
4326,1,28906,28043
4327,1,31485,30919
4328,1,25094,25093
4329,-1,30634,29756
4330,-1,26739,24807
4331,1,14448,12226
4332,1,28027,27005
4333,1,14889,12121
4334,1,14341,11369
4335,1,33466,33205
4336,-1,24298,22197
4337,-1,4047,1727
4338,-1,20169,18487
4339,1,537,70
4340,-1,7161,2963
4341,1,18207,15215
4342,1,29959,28740
4343,1,11447,8505
4344,-1,30068,28469
4345,1,31035,30927
4346,-1,8528,3051
4347,1,29552,29165
4348,-1,33012,32727
4349,-1,25658,24333
4350,1,23726,23953
4351,1,2590,9380
4352,1,27350,26111
4353,-1,25000,24210
4354,-1,26876,25848
4355,-1,24768,23337
4356,-1,27792,26921
4357,-1,10394,4029
4358,-1,7339,3931
4359,1,23562,22422
4360,1,24252,21985
4361,-1,29377,27743
4362,-1,18102,15639
4363,-1,9611,8245
4364,-1,29308,28218
4365,1,20043,18520
4366,-1,1790,168
4367,-1,5740,2151
4368,-1,7661,5965
4369,1,24203,22081
4370,1,17103,23659
4371,-1,26066,25634
4372,-1,24738,24250
4373,1,9970,7778
4374,-1,27410,26599
4375,-1,5170,1192
4376,1,3475,1714
4377,-1,11316,12695
4378,-1,31457,30981
4379,-1,25862,23218
4380,-1,2125,164
4381,1,18882,17325
4382,1,20031,21756
4383,1,882,174
4384,-1,24922,23451
4385,-1,11930,5530
4386,1,27552,27089
4387,1,32621,32510
4388,-1,26813,25633
4389,-1,15669,13151
4390,-1,20902,21882
4391,1,9041,6208
4392,1,25636,23639
4393,1,4210,1347
4394,-1,26780,25927
4395,-1,9069,3693
4396,-1,33671,32970
4397,1,3858,962
4398,1,233,1218
4399,1,26848,25390
4400,-1,32172,32067
4401,-1,29689,29184
4402,1,25195,23741
4403,1,21954,20070
4404,1,29457,29242
4405,1,19297,17802
4406,-1,22518,19858
4407,1,6570,4732
4408,1,6676,4109
4409,1,7190,4209
4410,-1,25336,23896
4411,1,14356,10854
4412,-1,25684,22996
4413,-1,13915,9133
4414,1,4287,1286
4415,1,26335,24719
4416,1,28835,27640
4417,-1,4814,1878
4418,1,25444,23871
4419,-1,29478,28903
4420,-1,17830,16135
4421,1,7073,4203
4422,1,6522,4254
4423,-1,31177,30762
4424,-1,31184,30299
4425,1,33990,33336
4426,-1,3172,1326
4427,-1,32128,31451
4428,-1,7448,4354
4429,1,24529,24450
4430,1,23079,21675
4431,-1,18200,15536
4432,1,21212,18993
4433,1,33394,33138
4434,1,30055,28581
4435,-1,25428,22947
4436,-1,26073,24696
4437,1,27974,26713
4438,-1,27160,25014
4439,1,1707,82
4440,-1,6915,2327
4441,1,25076,23334
4442,-1,7146,2330
4443,-1,27168,25589
4444,1,31149,30273
4445,-1,5184,472
4446,1,14891,12108
4447,1,19460,17888
4448,-1,31045,30809
4449,1,32583,32395
4450,-1,30657,29942
4451,-1,29912,28854
4452,-1,24305,21625
4453,1,30344,29643
4454,1,29170,27326
4455,1,1754,73
4456,-1,31284,30673
4457,-1,22753,21347
4458,1,22281,21331
4459,-1,25740,23864
4460,-1,24851,23357
4461,-1,31215,30469
4462,-1,32269,31984
4463,1,23541,21959
4464,-1,14596,11929
4465,1,1931,455
4466,1,30600,30237
4467,1,20327,18250
4468,1,27837,27082
4469,1,22068,21263
4470,1,24355,21379
4471,-1,6519,5437
4472,-1,31861,31026
4473,-1,34082,33567
4474,1,20672,19288
4475,1,8883,3215
4476,-1,4225,1227
4477,-1,33903,33678
4478,-1,32015,31384
4479,1,5570,1517
4480,-1,24042,22002
4481,-1,32532,32423
4482,-1,25435,24260
4483,-1,9464,9004
4484,-1,24683,24464
4485,1,30229,28617
4486,-1,30310,29520
4487,-1,9655,7271
4488,-1,2835,11833
4489,1,3163,1645
4490,1,4112,1048
4491,-1,24521,23936
4492,-1,30246,29974
4493,-1,30430,29889
4494,-1,27419,26666
4495,-1,23780,22594
4496,-1,5269,425
4497,-1,33136,32603
4498,-1,24899,24053
4499,-1,6592,5409
4500,1,13436,12494
4501,-1,8362,2912
4502,-1,29434,27376
4503,-1,24756,23894
4504,1,29010,27856
4505,-1,7203,14234
4506,1,17241,16100
4507,1,26631,27010
4508,-1,8750,6401
4509,1,14951,12295
4510,1,18915,17271
4511,-1,28006,26215
4512,-1,26680,25352
4513,-1,33080,32736
4514,1,17067,15464
4515,1,32818,33202
4516,-1,3289,1268
4517,-1,4375,1554
4518,1,19326,17789
4519,-1,1578,103
4520,-1,30806,30024
4521,-1,26300,25103
4522,-1,21833,20010
4523,-1,4509,1581
4524,1,34024,33372
4525,-1,30107,29209
4526,1,15314,13094
4527,1,5545,1491
4528,-1,26116,24749
4529,1,31146,30897
4530,-1,5635,1192
4531,1,13925,11779
4532,1,25236,23785
4533,1,18535,17667
4534,-1,26815,25314
4535,1,13631,10853
4536,1,29902,29400
4537,-1,10733,3404
4538,-1,27960,26281
4539,-1,30250,29939
4540,1,529,141
4541,-1,14811,9301
4542,-1,5324,1179
4543,-1,21966,21013
4544,1,4317,1820
4545,-1,24606,23644
4546,-1,30465,29661
4547,-1,29371,28115
4548,-1,29253,27690
4549,-1,24665,23122
4550,-1,12637,4588
4551,-1,27648,26425
4552,-1,8449,3351
4553,-1,25072,23619
4554,-1,27511,26564
4555,1,22173,20427
4556,1,18461,17888
4557,1,22071,20905
4558,-1,31907,31458
4559,1,21751,19912
4560,-1,32738,32445
4561,-1,23309,22166
4562,1,2266,829
4563,1,28758,28417
4564,-1,32749,32410
4565,-1,5906,1831
4566,1,32106,31224
4567,1,12707,12385
4568,1,27255,27152
4569,1,15118,25801
4570,-1,16129,12962
4571,-1,6153,328
4572,1,28217,26626
4573,1,15420,13260
4574,-1,28482,27628
4575,-1,32758,32496
4576,1,25558,23215
4577,-1,1377,208
4578,-1,28852,28033
4579,-1,11330,8638
4580,-1,25517,23782
4581,1,20677,19111
4582,-1,30378,30179
4583,-1,27222,27123
4584,1,33007,32784
4585,-1,21387,22612
4586,1,21266,19549
4587,-1,27676,27099
4588,1,33221,32801
4589,1,23633,21571
4590,-1,25892,23129
4591,-1,34089,33412
4592,1,10742,5237
4593,-1,33567,33138
4594,-1,3605,529
4595,1,26673,24990
4596,-1,28091,26447
4597,-1,26800,27094
4598,1,11438,2689
4599,-1,5896,1048
4600,-1,34138,33791
4601,1,3725,9522
4602,1,2501,1400
4603,1,16000,14466
4604,1,28092,27556
4605,1,32742,32445
4606,1,2168,280
4607,1,1126,153
4608,1,26807,25559
4609,1,2441,729
4610,-1,8660,2357
4611,1,28940,27801
4612,-1,24882,23410
4613,-1,10512,3810
4614,1,18358,19743
4615,1,26654,24647
4616,1,8463,4323
4617,1,1540,180
4618,1,31336,30886
4619,-1,25275,23985
4620,1,24694,23154
4621,1,19076,17798
4622,-1,28777,30085
4623,-1,32256,31810
4624,1,2730,1997
4625,1,6268,5581
4626,1,26847,25390
4627,-1,10107,6680
4628,1,32908,32607
4629,-1,24601,23597
4630,1,5708,2228
4631,1,26781,24857
4632,1,5823,2012
4633,1,26163,24827
4634,1,20208,21455
4635,1,22839,20285
4636,1,29890,29401
4637,-1,25454,23010
4638,-1,30172,29428
4639,-1,33174,32754
4640,-1,3670,1146
4641,-1,28499,27929
4642,1,9350,6769
4643,-1,18006,16000
4644,-1,28371,26730
4645,-1,28066,26477
4646,1,10917,5238
4647,1,23270,22298
4648,-1,31109,30948
4649,-1,30210,29398
4650,1,30521,29991
4651,1,2482,2032
4652,1,28631,28402
4653,1,29681,29444
4654,1,32826,32502
4655,1,34225,33854
4656,-1,26336,25890
4657,1,12308,8323
4658,1,17932,16886
4659,-1,32838,32392
4660,-1,21983,20572
4661,1,15242,13286
4662,1,31017,30614
4663,-1,33163,32735
4664,-1,21426,20773
4665,1,6076,2108
4666,1,9973,8300
4667,-1,24566,23328
4668,1,23806,22228
4669,1,32587,32385
4670,1,21745,19894
4671,-1,1873,257
4672,-1,25761,23381
4673,-1,25598,23264
4674,1,22309,20685
4675,-1,9556,6966
4676,-1,30156,29398
4677,1,17013,15464
4678,1,33891,33588
4679,1,10040,8314
4680,1,3255,1289
4681,-1,27722,26733
4682,-1,9527,7607
4683,-1,11617,5329
4684,1,25591,24260
4685,1,22209,20891
4686,-1,29843,28506
4687,1,8875,5005
4688,1,28956,28126
4689,1,18854,20392
4690,-1,31481,30332
4691,1,18661,18394
4692,1,22838,19785
4693,-1,25762,23108
4694,1,24075,22885
4695,1,17290,18330
4696,1,4832,334
4697,-1,5565,2086
4698,-1,31649,30695
4699,-1,19306,17271
4700,1,14515,10265
4701,1,1024,133
4702,1,29548,29265
4703,1,18454,17905
4704,-1,29918,29011
4705,1,19849,18909
4706,-1,32995,32622
4707,-1,26576,25241
4708,-1,28293,27094
4709,1,25436,23194
4710,1,14430,10139
4711,-1,6776,2288
4712,-1,8770,4620
4713,1,34187,33971
4714,1,29825,29398
4715,1,26881,25581
4716,-1,10234,7693
4717,1,32736,32445
4718,1,19733,19460
4719,-1,3845,5953
4720,1,27664,25990
4721,-1,27393,26662
4722,-1,5309,1999
4723,1,26656,27908
4724,-1,9914,8770
4725,-1,6609,5582
4726,-1,12543,2942
4727,-1,4773,2076
4728,1,30498,29614
4729,-1,30762,29977
4730,-1,5335,1269
4731,1,7893,5712
4732,-1,17670,17679
4733,1,30856,31402
4734,1,33862,33555
4735,1,28874,27926
4736,-1,23781,22316
4737,-1,25621,23439
4738,-1,956,140
4739,1,29948,28495
4740,1,21303,18898
4741,1,26032,24641
4742,1,28164,28535
4743,1,26053,25895
4744,1,13260,15086
4745,1,27155,25824
4746,-1,25047,23051
4747,-1,12142,7473
4748,1,2768,738
4749,-1,26210,24725
4750,-1,23196,22139
4751,-1,9531,7979
4752,1,26203,26474
4753,1,21748,21040
4754,-1,7082,2881
4755,1,22159,20290
4756,-1,29680,28732
4757,1,19893,18487
4758,-1,31887,31286
4759,-1,25782,23864
4760,-1,24819,23309
4761,1,893,200
4762,-1,31784,31122
4763,1,29274,29288
4764,1,24921,23378
4765,1,9386,8425
4766,1,17602,16628
4767,1,20151,18823
4768,1,17071,15215
4769,-1,29284,27933
4770,1,19941,18250
4771,-1,30705,29644
4772,-1,28525,27333
4773,1,30164,29343
4774,1,16244,13427
4775,-1,31160,30489
4776,-1,22762,21157
4777,-1,31243,30303
4778,1,21977,20845
4779,-1,30470,29657
4780,1,32966,32695
4781,-1,25031,23380
4782,-1,14281,11866
4783,1,8290,4955
4784,1,14770,9278
4785,1,21141,19330
4786,-1,33888,33655
4787,1,28261,26078
4788,1,23836,21772
4789,1,19046,18018
4790,1,29350,28065
4791,-1,689,208
4792,1,21153,18714
4793,1,3270,2223
4794,-1,168,18
4795,1,20519,18250
4796,-1,32371,32174
4797,1,6798,5840
4798,1,32345,32143
4799,1,26573,24516
4800,1,31285,31531
4801,-1,30622,29673
4802,1,30359,29624
4803,-1,33169,32678
4804,1,19513,17783
4805,-1,11601,5849
4806,1,152,0
4807,-1,27447,26525
4808,1,33176,32673
4809,-1,17746,16749
4810,-1,31173,30735
4811,1,12083,8874
4812,-1,17898,15995
4813,1,13620,12107
4814,1,12623,5127
4815,1,14362,10851
4816,1,31407,30913
4817,1,18725,17482
4818,-1,24619,23514
4819,-1,27773,26854
4820,1,33590,32930
4821,1,4178,515
4822,-1,26594,25277
4823,1,31016,30867
4824,-1,31154,30455
4825,-1,11986,4528
4826,-1,27619,26443
4827,-1,8837,3378
4828,-1,22573,20312
4829,1,20805,19088
4830,1,18312,18328
4831,-1,12680,11189
4832,1,30781,30848
4833,1,22021,20474
4834,-1,12292,6679
4835,-1,1841,29
4836,1,7931,15082
4837,-1,7611,6729
4838,1,16460,13901
4839,1,30835,29960
4840,1,22339,19730
4841,-1,10913,8885
4842,-1,32791,32461
4843,1,20387,18250
4844,-1,206,25
4845,1,29707,29267
4846,1,33248,32696
4847,1,31113,30422
4848,-1,12532,6413
4849,-1,32358,32134
4850,1,9731,6650
4851,-1,31460,30732
4852,1,33325,32997
4853,-1,25112,24154
4854,1,29423,28183
4855,1,30474,29526
4856,1,10794,7258
4857,-1,28779,28010
4858,1,26204,25609
4859,1,2238,133
4860,1,29950,29100
4861,-1,30704,29627
4862,-1,4588,1056
4863,1,19145,17503
4864,-1,32990,32591
4865,1,29109,28181
4866,1,131,4
4867,1,31144,30650
4868,1,23016,22202
4869,-1,13168,10397
4870,1,17719,23662
4871,1,28621,28177
4872,1,2996,665
4873,-1,6923,3302
4874,-1,6724,2540
4875,1,19818,21871
4876,-1,27120,24787
4877,-1,4707,2064
4878,1,15589,13409
4879,-1,29473,28883
4880,-1,30322,30111
4881,-1,8126,3115
4882,-1,26864,25068
4883,-1,29691,28462
4884,1,11341,3178
4885,-1,33609,33205
4886,-1,25494,23197
4887,1,17623,16941
4888,1,23792,21989
4889,1,32138,31896
4890,-1,15375,12713
4891,1,18230,17213
4892,-1,34186,33920
4893,-1,1111,163
4894,1,27387,26804
4895,1,24281,21847
4896,1,32979,32566
4897,1,22824,20828
4898,-1,31363,30426
4899,-1,7613,4323
4900,-1,4517,1356
4901,-1,26139,25321
4902,1,31117,30264
4903,1,22621,20845
4904,1,26057,25606
4905,1,359,30
4906,-1,10968,3507
4907,1,10632,5733
4908,-1,11685,3337
4909,1,20965,19525
4910,1,27551,27008
4911,1,18703,17514
4912,-1,33833,33727
4913,-1,16190,13787
4914,1,29987,28929
4915,-1,31601,30762
4916,-1,22655,20300
4917,-1,31455,30674
4918,-1,17670,16877
4919,-1,32305,31873
4920,-1,33569,32881
4921,-1,23125,22544
4922,1,31021,30344
4923,1,4360,318
4924,-1,2746,1135
4925,1,29017,27871
4926,-1,1779,220
4927,1,25442,25441
4928,-1,13242,9605
4929,1,27264,26048
4930,-1,29940,29032
4931,1,12699,10674
4932,1,7152,4239
4933,-1,27286,27087
4934,1,17315,17055
4935,1,24643,23558
4936,-1,10767,5473
4937,-1,25839,23980
4938,-1,25978,25122
4939,1,4965,1914
4940,-1,10799,3584
4941,1,32994,32695
4942,1,33734,33209
4943,1,3755,353
4944,1,11918,4239
4945,1,28250,26569
4946,-1,7989,2587
4947,1,15863,14099
4948,1,14116,11369
4949,1,12651,9635
4950,-1,27931,26186
4951,-1,28669,27824
4952,1,5629,2020
4953,-1,34367,34278
4954,-1,29162,28042
4955,-1,28630,27422
4956,-1,32117,31688
4957,1,14064,10062
4958,-1,25213,23429
4959,-1,25270,23462
4960,1,31632,30495
4961,1,17691,16868
4962,-1,15925,13227
4963,1,27913,27151
4964,1,9087,3982
4965,1,31996,31025
4966,1,32322,31761
4967,1,16945,15681
4968,1,28693,27916
4969,-1,29439,27448
4970,-1,23953,22359
4971,1,17787,19052
4972,-1,27815,26584
4973,1,17797,17261
4974,-1,3602,1294
4975,1,8896,2508
4976,-1,21407,20320
4977,1,27331,26205
4978,-1,26899,25188
4979,-1,23436,22239
4980,-1,23027,21932
4981,1,7756,3725
4982,1,233,1209
4983,-1,24519,24386
4984,-1,31660,30259
4985,-1,14974,9358
4986,-1,29778,28846
4987,1,12692,10012
4988,-1,27964,26998
4989,-1,12361,6532
4990,1,24084,21748
4991,-1,29000,28346
4992,-1,23158,21582
4993,1,16667,15200
4994,1,33069,32775
4995,-1,15437,14688
4996,1,9850,6811
4997,1,11703,4352
4998,-1,30779,30179
4999,1,10319,7228
5000,1,28131,27015
5001,1,2679,1106
5002,-1,26712,24773
5003,-1,6130,12062
5004,1,19182,17729
5005,1,27612,26359
5006,-1,23831,22630
5007,-1,24099,22110
5008,-1,26991,24818
5009,1,33411,32966
5010,-1,29971,28562
5011,-1,29254,29046
5012,-1,5939,1693
5013,-1,23789,21511
5014,-1,30853,29765
5015,1,30773,29916
5016,1,26551,24714
5017,1,19100,17325
5018,1,13071,9647
5019,-1,27278,27272
5020,1,32021,31546
5021,1,29267,28031
5022,-1,31927,31501
5023,1,23892,22100
5024,-1,1765,268
5025,-1,31252,30440
5026,1,31729,31689
5027,-1,1720,11382
5028,-1,13347,12528
5029,-1,28267,26505
5030,-1,32988,32605
5031,1,25488,24072
5032,1,4951,687
5033,-1,21903,20710
5034,1,20891,19252
5035,-1,30821,29715
5036,1,34226,34051
5037,-1,32493,32138
5038,1,31224,30448
5039,1,25899,23567
5040,-1,32761,32442
5041,1,31271,30809
5042,-1,30819,29475
5043,1,4559,510
5044,1,20638,18793
5045,-1,27344,26230
5046,-1,33,9
5047,1,10303,9022
5048,-1,23923,21389
5049,-1,11446,3852
5050,-1,5263,849
5051,1,28880,28416
5052,-1,6365,1707
5053,1,6610,4488
5054,1,10749,6397
5055,1,33832,33535
5056,1,17255,16266
5057,-1,29962,29273
5058,-1,33607,33037
5059,-1,32427,32235
5060,1,11499,6211
5061,-1,30013,28923
5062,1,4363,314
5063,-1,4618,1418
5064,1,26735,25035
5065,-1,13057,9699
5066,-1,32356,32340
5067,1,21872,20526
5068,1,18297,18337
5069,1,10397,2831
5070,-1,7694,3541
5071,1,22607,20143
5072,-1,33344,33214
5073,-1,8784,3983
5074,-1,31997,31278
5075,-1,28657,27505
5076,-1,6289,1553
5077,-1,31606,30314
5078,1,7427,2914
5079,-1,5336,2183
5080,1,4981,1956
5081,1,2154,133
5082,1,29816,28456
5083,1,9219,7847
5084,-1,13123,12484
5085,1,32715,33239
5086,-1,27196,26801
5087,1,31431,30771
5088,-1,31526,30734
5089,1,21686,20247
5090,1,18216,15132
5091,-1,29405,27337
5092,1,25699,23624
5093,1,14109,9265
5094,1,28665,27814
5095,1,28098,26513
5096,-1,29800,29298
5097,-1,5571,1878
5098,1,11002,8763
5099,1,19862,18358
5100,-1,6734,4813
5101,1,29783,28733
5102,-1,13767,12503
5103,1,296,23
5104,1,18268,17974
5105,1,19911,19391
5106,1,25260,23990
5107,1,21868,19836
5108,1,30330,29653
5109,1,30984,29701
5110,-1,5234,969
5111,1,193,9
5112,-1,25975,24516
5113,1,12279,4354
5114,1,24261,22708
5115,1,12438,8002
5116,1,12305,3259
5117,-1,10670,8660
5118,1,30207,28849
5119,-1,3901,1988
5120,-1,29490,28843
5121,-1,23637,22322
5122,-1,412,4048
5123,1,30286,29579
5124,1,15342,12819
5125,-1,5114,2081
5126,-1,5952,2097
5127,1,22990,22251
5128,1,4539,1271
5129,-1,15376,13168
5130,1,12619,3942
5131,1,13630,10732
5132,1,10135,7977
5133,1,22654,20750
5134,1,2725,2151
5135,1,29027,28235
5136,1,28653,27747
5137,-1,18227,16577
5138,1,14296,10607
5139,-1,5324,1755
5140,-1,1256,138
5141,-1,29941,29388
5142,-1,2961,1493
5143,1,7473,10284
5144,1,9124,8462
5145,1,18802,17296
5146,-1,32077,31194
5147,1,33788,33129
5148,1,22508,20387
5149,1,1805,261
5150,1,19192,18002
5151,-1,2401,1193
5152,-1,3175,2238
5153,-1,30790,30104
5154,-1,27036,25063
5155,1,31835,31213
5156,1,17696,23662
5157,1,33326,32952
5158,1,21759,20004
5159,-1,32380,32174
5160,1,31530,30932
5161,1,32847,32385
5162,-1,30086,28566
5163,1,31880,31296
5164,1,32318,31981
5165,1,17810,20159
5166,1,1021,173
5167,-1,16602,13069
5168,1,29013,27910
5169,1,5993,2049
5170,-1,11444,6592
5171,-1,21387,20830
5172,1,12436,3026
5173,1,31279,30621
5174,1,1688,28
5175,-1,26510,25618
5176,1,28874,27938
5177,-1,16116,14343
5178,1,34209,33829
5179,-1,27990,26909
5180,1,7255,6114
5181,-1,24869,22974
5182,-1,9229,8323
5183,-1,27525,27036
5184,-1,33300,32867
5185,1,22081,19893
5186,1,21174,18488
5187,-1,8834,4681
5188,1,30518,29485
5189,-1,16773,15579
5190,-1,30781,29765
5191,1,20027,19348
5192,-1,32219,31810
5193,1,8766,4311
5194,1,23010,22247
5195,-1,28171,26210
5196,1,19034,17299
5197,1,33378,33086
5198,1,16777,19325
5199,-1,27465,26210
5200,1,32147,31753
5201,1,5310,956
5202,-1,15316,13006
5203,1,22256,25058
5204,1,29465,28862
5205,1,20587,18488
5206,1,19901,18636
5207,1,26693,24541
5208,-1,5819,1754
5209,-1,5785,2121
5210,-1,15201,13589
5211,1,18153,15930
5212,-1,25269,23051
5213,1,10005,6776
5214,1,10016,7328
5215,1,5589,1674
5216,1,4755,1508
5217,1,19527,17974
5218,-1,34101,33400
5219,-1,30104,28822
5220,1,163,17
5221,1,16261,14782
5222,-1,7026,4144
5223,1,15990,14094
5224,-1,2209,91
5225,-1,29561,28703
5226,1,29564,29397
5227,1,33608,32881
5228,-1,16056,13797
5229,-1,25313,23992
5230,-1,23267,22907
5231,-1,33655,33314
5232,-1,17195,15260
5233,-1,24631,23458
5234,1,20266,18430
5235,1,26587,25341
5236,-1,24507,21595
5237,1,17818,15900
5238,1,28337,26513
5239,-1,25434,23749
5240,1,10619,6191
5241,1,602,131
5242,1,32278,31738
5243,-1,33819,33635
5244,-1,29276,28175
5245,-1,14114,11554
5246,1,8318,2971
5247,-1,23441,22393
5248,-1,28775,28099
5249,-1,25407,24136
5250,1,15503,13886
5251,-1,9187,8478
5252,1,33610,33205
5253,1,25451,23179
5254,1,2063,35
5255,1,25673,22990
5256,-1,25719,24030
5257,-1,15293,13255
5258,-1,2461,1439
5259,1,25075,23334
5260,-1,25402,22938
5261,-1,28266,26390
5262,1,32650,32472
5263,-1,6827,5849
5264,-1,28412,26835
5265,-1,30825,29817
5266,1,10822,2468
5267,1,5035,1810
5268,-1,24517,25475
5269,-1,13754,11070
5270,-1,21871,20565
5271,1,24803,23974
5272,1,34295,34230
5273,1,7000,8763
5274,-1,5390,1905
5275,-1,27187,26558
5276,-1,3638,984
5277,1,8763,4170
5278,1,27407,26652
5279,1,27943,26509
5280,1,18264,18507
5281,-1,32771,32359
5282,-1,31365,30304
5283,-1,26330,25014
5284,1,32000,31628
5285,-1,30989,29798
5286,1,2142,2028
5287,-1,4251,665
5288,-1,28831,27622
5289,-1,13990,12304
5290,1,30718,29895
5291,1,30019,29192
5292,-1,7271,4139
5293,1,10743,5027
5294,1,6196,547
5295,1,7458,6033
5296,-1,26844,24570
5297,1,20953,19462
5298,-1,9488,8668
5299,1,1709,253
5300,-1,16179,13603
5301,1,25973,25341
5302,-1,23569,22342
5303,-1,33175,32835
5304,1,4043,2201
5305,1,22414,20247
5306,-1,7290,3394
5307,1,18472,17367
5308,-1,33214,32764
5309,1,18873,17697
5310,1,33261,32739
5311,1,26111,24992
5312,-1,29736,29088
5313,-1,27739,26495
5314,-1,24974,22948
5315,-1,2448,2111
5316,1,28164,27519
5317,-1,30721,29542
5318,-1,28093,26167
5319,1,18186,16673
5320,-1,28332,26298
5321,1,19852,19179
5322,1,29820,28456
5323,-1,27346,26993
5324,-1,3737,2135
5325,1,22361,19750
5326,-1,8498,10703
5327,1,249,21
5328,1,18270,17800
5329,-1,18138,15925
5330,1,10499,2866
5331,-1,27715,26548
5332,1,24879,22981
5333,-1,16887,15720
5334,-1,33369,32977
5335,1,25669,23849
5336,-1,22414,20248
5337,-1,22950,21546
5338,-1,27594,26592
5339,-1,27909,26475
5340,1,22920,21002
5341,1,31085,30711
5342,1,1438,1147
5343,1,29994,28581
5344,1,15359,12807
5345,1,9555,6683
5346,-1,29383,27437
5347,-1,33286,32692
5348,1,13058,10040
5349,-1,14061,9780
5350,-1,24894,24463
5351,-1,32903,32517
5352,-1,23003,21432
5353,-1,24569,24329
5354,1,20355,18725
5355,1,260,9
5356,1,5497,1536
5357,1,31797,31195
5358,-1,11349,3682
5359,-1,32008,31181
5360,1,20175,18276
5361,1,18502,17956
5362,-1,10178,8150
5363,-1,5594,1960
5364,1,29612,29274
5365,-1,30426,29645
5366,1,26408,25457
5367,1,15341,13227
5368,-1,10889,3178
5369,1,21234,18852
5370,-1,32047,31230
5371,-1,32368,32197
5372,1,30471,29661
5373,1,2345,715
5374,1,22678,20791
5375,-1,32897,32793
5376,1,19951,18560
5377,1,32596,32471
5378,1,3759,1895
5379,-1,25043,23095
5380,1,26657,28216
5381,1,27321,26783
5382,1,12359,7729
5383,1,3491,1707
5384,-1,24950,24127
5385,-1,16680,15864
5386,1,29625,28438
5387,1,14364,10853
5388,-1,32158,31714
5389,1,21118,19104
5390,-1,29002,28183
5391,1,25403,23962
5392,1,24698,23166
5393,1,4268,2142
5394,1,28481,28217
5395,1,25035,24464
5396,1,14187,10954
5397,-1,29213,27633
5398,1,10343,7048
5399,1,6581,3404
5400,1,25046,23259
5401,-1,24861,23099
5402,1,3659,856
5403,-1,25919,23626
5404,1,26580,24886
5405,1,25440,22939
5406,1,19494,17638
5407,-1,34081,33354
5408,-1,21321,19306
5409,1,33667,33251
5410,-1,32971,32535
5411,-1,34123,33715
5412,1,19002,17747
5413,-1,30249,30226
5414,-1,21950,21188
5415,1,12026,3501
5416,1,14955,12297
5417,-1,22441,19946
5418,-1,32957,32581
5419,-1,21457,20500
5420,1,13918,10040
5421,1,2934,1444
5422,1,32347,32263
5423,-1,24784,23713
5424,1,19989,19435
5425,-1,32699,32391
5426,-1,6501,2602
5427,1,26247,25659
5428,1,15718,13755
5429,1,14677,10751
5430,1,10110,7708
5431,1,34073,33728
5432,1,13845,11798
5433,-1,30539,29657
5434,-1,4242,442
5435,1,24714,23178
5436,1,29975,29037
5437,-1,29730,29113
5438,-1,32110,31448
5439,-1,32602,32459
5440,1,15364,13453
5441,-1,28892,27730
5442,-1,27018,24718
5443,-1,32738,32736
5444,1,17360,17212
5445,1,20630,20749
5446,-1,14844,11169
5447,1,15520,14043
5448,1,2753,1289
5449,1,34271,34260
5450,-1,32249,31733
5451,1,27498,26976
5452,1,20174,22128
5453,-1,32048,31210
5454,1,11877,6221
5455,-1,3096,873
5456,-1,26048,25339
5457,-1,31672,30576
5458,1,34286,34256
5459,-1,30231,28865
5460,-1,23187,22050
5461,-1,30553,29781
5462,-1,6829,3074
5463,-1,30222,28847
5464,1,8156,3063
5465,1,6934,5217
5466,1,20555,18978
5467,-1,30313,30193
5468,-1,10072,8061
5469,-1,25058,23677
5470,1,1479,162
5471,1,27162,25925
5472,1,19521,17568
5473,1,1845,296
5474,1,7370,3258
5475,1,9004,4850
5476,1,8762,5477
5477,1,19472,17934
5478,-1,14382,11415
5479,1,6830,5536
5480,-1,33468,33180
5481,1,3305,1278
5482,1,2699,449
5483,-1,9766,9069
5484,-1,31627,30269
5485,1,26045,25650
5486,-1,6747,5953
5487,1,29425,27832
5488,-1,30239,28789
5489,1,32105,31156
5490,1,28765,27946
5491,-1,34130,33554
5492,-1,4405,1135
5493,1,24639,23194
5494,-1,15031,12366
5495,1,25034,23880
5496,1,2001,304
5497,-1,27606,27159
5498,1,11090,8470
5499,1,29385,27171
5500,1,18610,18103
5501,1,28594,27349
5502,1,2775,1808
5503,-1,14157,10205
5504,-1,10539,3985
5505,-1,6334,2238
5506,-1,1312,198
5507,-1,26851,25551
5508,1,29097,27431
5509,-1,21904,20555
5510,-1,33455,33270
5511,1,22430,20202
5512,1,1796,261
5513,1,31847,31186
5514,1,28545,28090
5515,1,23073,22144
5516,-1,5177,1056
5517,-1,2370,1907
5518,1,25967,24724
5519,-1,31259,30695
5520,1,30982,29600
5521,1,8466,5880
5522,-1,24037,22438
5523,1,32424,32131
5524,1,24830,23678
5525,1,7666,3518
5526,1,32850,32393
5527,1,33077,32591
5528,-1,4494,6829
