n,url,label
636,"Staline_est_l%27auteur_d%27une_contre-r%C3%A9volution","Staline est l'auteur d'une contre-révolution"
637,"Staline_est_un_h%C3%A9ritier_calomni%C3%A9_de_L%C3%A9nine","Staline est un héritier calomnié de Lénine"
638,"leaf_113","Dans la plupart des familles, ce sont les femmes qui s'occupent des enfants et des tâches domestiques"
639,"Les_hommes_jouent_un_r%C3%B4le_essentiel_dans_l%27%C3%A9ducation_des_enfants","Les hommes jouent un rôle essentiel dans l'éducation des enfants"
640,"leaf_114","Même quand ils s'occupent de leurs enfants, la plupart des hommes renforcent les stéréotypes sexistes"
641,"leaf_115","Les hommes ont intérêt à conserver les rôles traditionnels au sein de la famille"
642,"La_loi_Collomb_Asile_et_immigration_%C3%A9tend_les_motifs_de_refus_de_d%C3%A9lai_de_d%C3%A9part_volontaire_%C3%A0_l%27utilisation_simple_d%27un_titre_de_s%C3%A9jour_ou_document_d%27identit%C3%A9_ou_de_voyage_%C3%A9tabli_sous_un_faux_nom","A l'utilisation simple d'un titre de séjour ou document d'identité ou de voyage établi sous un faux nom"
643,"La_loi_Collomb_Asile_et_immigration_%C3%A9tend_les_motifs_de_refus_de_d%C3%A9lai_de_d%C3%A9part_volontaire","Extension des motifs de refus de délai de départ volontaire"
644,"La_loi_Collomb_Asile_et_immigration_%C3%A9tend_les_motifs_de_refus_de_d%C3%A9lai_de_d%C3%A9part_volontaire_%C3%A0_de_nouveaux_cas","A de nouveaux cas"
645,"Le_Front_national_s%27est_d%C3%A9diabolis%C3%A9_avec_Marine_Le_Pen","Le Front national s'est dédiabolisé avec Marine Le Pen"
646,"Le_Front_national_est_un_parti_raciste,_x%C3%A9nophobe,_antis%C3%A9mite_et_homophobe","Le FN est un parti raciste, xénophobe, antisémite et homophobe"
647,"Le_Front_national_ne_pr%C3%B4ne_pas_de_th%C3%A9ories_racistes","Le FN ne prône pas de théories racistes"
648,"Le_Front_national_n%27est_pas_fasciste_juste_parce_que_ses_dirigeants_tiennent_des_propos_racistes,_x%C3%A9nophobes,_antis%C3%A9mites_ou_homophobes","Raciste n'est pas fasciste"
649,"leaf_116","Les pays du Sud sont sous le joug des multinationales et des anciens colonisateurs"
650,"Les_pays_du_Sud_ont_voulu_l%27ind%C3%A9pendance,_il_n%27y_a_pas_de_raison_que_leurs_populations_viennent_chez_les_anciens_colonisateurs","Ils ont voulu l'indépendance, ils ne doivent pas migrer"
651,"C%27est_nous_qui_les_avons_fait_venir","C'est nous qui les avons fait venir"
652,"leaf_117","2. La prohibition est préjudiciable aux usagers"
653,"leaf_118",""
654,"Les_r%C3%A9volutionnaires_peuvent_faire_des_alliances_critiques_avec_les_organisations_de_lutte_contre_l%27islamophobie","On peut faire des alliances critiques"
655,"Les_propos_r%C3%A9actionnaires_de_certains_leaders_antiislamophobes_devraient_suffire_%C3%A0_refuser_toute_alliance_avec_eux","Des propos suffisants pour considérer ces organisations comme ennemies"
656,"leaf_119","Le football n'est pas responsable de la misère du monde"
657,"L%27argent_des_salaires_des_footballeurs_professionnels_pourrait_%C3%AAtre_investi_dans_des_choses_plus_importantes","Cet argent pourrait être investi dans des choses plus importantes"
658,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_en_1918_suite_%C3%A0_la_dissolution_des_soviets_tenus_par_des_opposants","Suite à la dissolution des soviets tenus par des opposants"
659,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_en_1918","En 1918"
660,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_de_Petrograd_en_1918","Même à Petrograd"
661,"On_cr%C3%A9era_des_stages_pour_adapter_leur_comportement_avec_les_femmes","On créera des stages pour adapter leur comportement avec les femmes"
662,"On_augmente_le_sexisme_ambiant_en_faisant_venir_ces_migrants","On augmente le sexisme ambiant en faisant venir ces migrants"
663,"leaf_120","Ils vont adopter nos moeurs"
664,"Nous_ne_pouvons_pas_r%C3%A9voquer_nos_%C3%A9lus","Nous ne pouvons pas révoquer nos élus"
665,"Le_pouvoir_politique_fran%C3%A7ais_manque_de_contr%C3%B4le","Le pouvoir politique manque de contrôle"
666,"Les_hommes_politiques_sont_des_professionnels_%C3%A0_vie","Les hommes politiques sont des professionnels à vie"
667,"Les_hauts_fonctionnaires_sont_quasi_inamovibles","Les hauts fonctionnaires sont quasi inamovibles"
668,"Nous_ne_connaissons_pas_assez_les_actions_men%C3%A9es_par_nos_%C3%A9lus","Nous ne connaissons pas assez les actions menées par nos élus"
669,"Nous_n%27%C3%A9lisons_pas_toutes_les_personnes_qui_sont_au_pouvoir_politique_en_France","Nous n'élisons pas toutes les personnes qui sont au pouvoir"
670,"Les_intellectuels_d%C3%A9fenseurs_du_capitalisme_ne_sont_plus_salari%C3%A9s_par_les_entreprises_mais_par_l%27%C3%89tat","Les intellectuels défenseurs du capitalisme ne sont plus salariés par les entreprises mais par l'État"
671,"Les_intellectuels_ne_d%C3%A9fendent_plus_le_capitalisme_comme_ils_l%27ont_d%C3%A9fendu_dans_le_pass%C3%A9","Les intellectuels ne défendent plus le capitalisme comme ils l'ont défendu dans le passé"
672,"La_critique_du_capitalisme_n%27est_dans_les_ann%C3%A9es_1960_plus_seulement_th%C3%A9orique_mais_pratique","La critique du capitalisme n'est dans les années 1960 plus seulement théorique mais pratique"
673,"leaf_121","Le capitalisme repose sur la corruption"
674,"Le_capitalisme_est_immoral","Le capitalisme est immoral"
675,"leaf_122","Le capitalisme repose sur l'égoïsme et la cupidité"
676,"leaf_123","Le capitalisme encourage le mensonge et la tromperie"
677,"leaf_124","Le capitalisme s'oppose aux valeurs traditionnelles"
678,"leaf_125","Le capitalisme fait un commerce de la pornographie"
679,"leaf_126","Le capitalisme permet la marchandisation d'êtres humains"
680,"L%C3%A9nine_d%C3%A9nonce_constamment_la_tentation_de_manipuler_la_r%C3%A9alit%C3%A9_sociale","Lénine dénonce constamment la tentation de manipuler la réalité sociale"
681,"L%C3%A9nine_a_manipul%C3%A9_les_statistiques_officielles","Lénine a manipulé les statistiques officielles"
682,"Le_tabac_et_l%27alcool_sont_attractifs_parce_que_de_nombreux_int%C3%A9r%C3%AAts_s%27emploient_%C3%A0_les_rendre_attractifs","Le tabac et l'alcool sont attractifs parce que de nombreux intérêts s'emploient à les rendre attractifs"
683,"Le_tabac_et_l%27alcool,_licites,_sont_tr%C3%A8s_attractifs","Le tabac et l'alcool, licites, sont très attractifs"
684,"Des_changements_culturels_et_des_basculements_civilisationnels_sont_possibles","Des changements culturels et des basculements civilisationnels sont possibles"
685,"On_ne_peut_pas_fermer_les_fronti%C3%A8res","On ne peut pas fermer les frontières"
686,"On_ne_peut_pas_emp%C3%AAcher_l%27immigration","On ne peut pas empêcher l'immigration"
687,"On_ne_peut_pas_les_renvoyer_dans_leurs_pays_(pour_des_raisons_juridiques)","On ne peut pas les renvoyer dans leurs pays (pour des raisons juridiques)"
688,"leaf_127","Le réchauffement climatique va entrainer de grandes migrations"
689,"Si_les_migrants_acceptent_de_prendre_autant_de_risques,_c%27est_qu%27ils_n%27ont_pas_le_choix","Si les migrants acceptent de prendre autant de risques, c'est qu'ils n'ont pas le choix"
690,"leaf_128","Quelles que soient les mesures de fermeture des frontières, les populations pauvres migreront quand même"
691,"La_France_comme_l%27Europe_se_sont_constitu%C3%A9es_par_des_vagues_perp%C3%A9tuelles_d%27immigration","La France comme l'Europe se sont constituées par des vagues perpétuelles d'immigration"
692,"Le_sens_de_l%27Histoire_est_%C3%A0_la_mondialisation","Le sens de l'Histoire est à la mondialisation"
693,"C%27est_une_question_de_volont%C3%A9_politique_(Australie,_Japon)","C'est une question de volonté politique (Australie, Japon)"
694,"Beaucoup_de_migrants_soi-disant_mineurs_sont_des_adultes","Beaucoup de migrants soi-disant mineurs sont des adultes"
695,"On_ne_peut_pas_contr%C3%B4ler_l%E2%80%99immigration","On ne peut pas contrôler l’immigration"
696,"Il_y_a_des_islamistes_dangereux_parmi_les_migrants","Il y a des islamistes dangereux parmi les migrants"
697,"On_fait_venir_des_milliers_de_personnes_trop_peu_%C3%A9duqu%C3%A9es","On fait venir des milliers de personnes trop peu éduquées"
698,"On_ne_conna%C3%AEt_pas_l%27identit%C3%A9_pr%C3%A9cise_de_beaucoup_des_personnes_que_l%27on_accueille","On ne connaît pas l'identité précise de beaucoup des personnes que l'on accueille"
699,"Il_y_a_toujours_des_peurs_autour_de_l%27immigr%C3%A9,_qui_in_fine_s%27int%C3%A8gre_normalement","Il y a toujours des peurs autour de l'immigré, qui in fine s'intègre normalement"
700,"leaf_129","Quand les Français connaissent personnellement des migrants, cela se passe bien"
701,"leaf_130","Un besoin de stabilité"
702,"leaf_131","Il y a d'autres sujets révolutionnaires"
703,"La_r%C3%A9volution_sera_paysanne","La révolution sera paysanne"
704,"leaf_132","La révolution viendra des précaires et des chômeurs"
705,"La_r%C3%A9volution_viendra_des_marginaux","La révolution viendra des marginaux"
706,"leaf_133","Il faut en finir avec l'ouvriérisme"
707,"leaf_134","La France n'a pas les moyens économiques d'accueillir les migrants"
708,"On_ne_peut_pas_accueillir_toute_la_mis%C3%A8re_du_monde","On ne peut pas accueillir toute la misère du monde"
709,"Les_migrants_prennent_le_travail_des_Fran%C3%A7ais","Les migrants prennent le travail des Français"
710,"leaf_135","Les migrants bénéficient d'aides sociales au détriment des Français"
711,"Les_grandes_migrations_signent_la_fin_du_mod%C3%A8le_social_europ%C3%A9en","Les grandes migrations signent la fin du modèle social européen"
712,"Il_y_a_des_probl%C3%A8mes_avec_les_enfants_des_immigr%C3%A9s,_cela_incite_%C3%A0_ne_pas_accueillir_de_nouveaux_migrants","Il y a des problèmes avec les enfants des immigrés, cela incite à ne pas accueillir de nouveaux migrants"
713,"Le_nombre_d%27%C3%A9trangers_en_France_est_stable_depuis_20_ans","Le nombre d'étrangers en France est stable depuis 20 ans"
714,"L%27immense_majorit%C3%A9_des_r%C3%A9fugi%C3%A9s_sont_accueillis_et_restent_dans_les_pays_pauvres_voisins","L'immense majorité des réfugiés sont accueillis et restent dans les pays pauvres voisins"
715,"On_accueille_tr%C3%A8s_peu_de_migrants_%C3%A9tant_donn%C3%A9_les_moyens_de_l%E2%80%99Europe","On accueille très peu de migrants étant donné les moyens de l’Europe"
716,"Les_migrants_repr%C3%A9sentent_de_la_croissance","Les migrants représentent de la croissance"
717,"Quand_un_pays_riche_comme_la_France_refuse_d%27accueillir_les_migrants,_ils_sont_renvoy%C3%A9s_vers_des_pays_plus_pauvres","Quand un pays riche comme la France refuse d'accueillir les migrants, ils sont renvoyés vers des pays plus pauvres"
718,"N%27accueillir_que_les_migrants_fortun%C3%A9s_est_scandaleux","N'accueillir que les migrants fortunés est scandaleux"
719,"Le_d%C3%A9compte_du_Livre_noir_du_communisme_ne_parvient_pas_%C3%A0_100_millions_de_morts","Une erreur de 15 millions de morts"
720,"Les_morts_d%C3%A9compt%C3%A9s_dans_le_Livre_noir_du_communisme_ne_sont_pas_tous_amputables_au_communisme","Des crimes qui ne sont pas tous amputables au communisme"
721,"Le_capitalisme_est_tout_autant_reponsable_de_la_mort_de_millions_de_personnes","Le capitalisme est tout autant reponsable de la mort de millions de personnes"
722,"C%27est_une_d%C3%A9formation_chr%C3%A9tienne_de_ramener_les_autres_voies_%C3%A0_l%27amour","C'est une déformation chrétienne de ramener les autres voies à l'amour"
723,"Les_religions_pr%C3%B4nent_l%27amour","Les religions prônent l'amour"
724,"leaf_136","Les inégalités augmentent en même temps que la richesse des plus fortunés"
725,"Il_y_a_une_tendance_%C3%A0_la_concentration_des_m%C3%A9dias_et_de_l%27information_en_France","Il y a une tendance à la concentration des médias et de l'information en France"
726,"L%27information_est_contr%C3%B4l%C3%A9e_par_les_puissances_financi%C3%A8res_et_politiques","L'information est contrôlée par les puissances financières et politiques"
727,"Il_y_a_une_disparition_de_la_presse_d%27opinion","Il y a une disparition de la presse d'opinion"
728,"Le_spectaculaire_et_l%27anecdotique_sont_pr%C3%A9f%C3%A9r%C3%A9s_%C3%A0_l%27information","Le spectaculaire et l'anecdotique sont préférés à l'information"
729,"leaf_137","Il y a une conformisation de la ligne éditoriale des médias"
730,"Les_substituts_v%C3%A9gans_ne_sont_pas_n%C3%A9cessaires","Les substituts ne sont pas nécessaires"
731,"Les_substituts_v%C3%A9gans_sont_souvent_allerg%C3%A8nes","Les substituts végans sont souvent allergènes"
732,"Les_produits_allerg%C3%A8nes_ne_sont_sp%C3%A9cifiques_%C3%A0_l%27alimentation_sans_viande","Ce n'est pas spécifique à l'alimentation sans viande"
733,"Le_bourrage_d%27urnes_est_difficilement_r%C3%A9alisable_%C3%A0_grande_%C3%A9chelle_sans_%C3%AAtre_d%C3%A9tect%C3%A9","Le bourrage d'urnes est difficilement réalisable à grande échelle sans être détecté"
734,"Avec_le_vote_%C3%A9lectronique_il_ne_peut_y_avoir_de_bourrage_d%27urnes_comme_dans_le_vote_papier","Il ne peut y avoir de bourrage d'urnes comme dans le vote papier"
735,"Toutes_les_religions_affirment_la_m%C3%AAme_v%C3%A9rit%C3%A9","Toutes les religions affirment la même vérité"
736,"Les_religions_v%C3%A9hiculent_un_message_identique","Les religions véhiculent un message identique"
737,"Les_religions_poursuivent_la_m%C3%AAme_finalit%C3%A9","Les religions poursuivent la même finalité"
738,"Les_religions_sont_fond%C3%A9es_sur_la_m%C3%AAme_exp%C3%A9rience_fondamentale","Les religions sont fondées sur la même expérience fondamentale"
739,"Les_grandes_traditions_disent_que_les_religions_sont_une","Les grandes traditions disent que les religions sont une"
740,"Les_religions_refl%C3%A8tent_la_m%C3%AAme_tradition_primordiale","Les religions reflètent la même tradition primordiale"
741,"Les_religions_s%27opposent_sur_des_questions_essentielles","Les religions s'opposent sur des questions essentielles"
742,"Les_religions_sont_en_conflit_historique","Les religions sont en conflit historique"
743,"Les_religions_sont_des_chemins_diff%C3%A9rents","Les religions sont des chemins différents"
744,"Chaque_religion_affirme_%C3%AAtre_l%27unique_V%C3%A9rit%C3%A9","Chaque religion affirme être l'unique Vérité"
745,"Il_y_a_une_diversit%C3%A9_irr%C3%A9ductible_de_l%27Ultime","Il y a une diversité irréductible de l'Ultime"
746,"La_classe_ouvri%C3%A8re_a_toujours_%C3%A9t%C3%A9_touch%C3%A9e_par_l%27individualisme","La classe ouvrière a toujours été touchée par l'individualisme"
747,"La_classe_ouvri%C3%A8re_est_touch%C3%A9e_par_l%27individualisme","Une classe touchée par l'individualisme"
748,"J%27aurais_pu_faire_un_autre_choix_que_celui_que_j%27ai_fait_par_le_pass%C3%A9","Un autre choix était possible"
749,"Le_fait_que_j%27aurais_pu_faire_un_autre_choix_que_celui_que_j%27ai_fait_par_le_pass%C3%A9_est_inv%C3%A9rifiable","Le fait que j'aurais pu faire un autre choix que celui que j'ai fait par le passé est invérifiable"
750,"leaf_138","Il n'est pas préférable pour un individu d'être privé de sa liberté"
751,"L%27%C3%A9levage_implique_moins_de_cruaut%C3%A9_pour_les_animaux_que_l%27%C3%A9tat_sauvage","L'élevage implique moins de cruauté pour les animaux que l'état sauvage"
752,"Les_fronti%C3%A8res_prot%C3%A9gent_les_diff%C3%A9rences_culturelles","Les frontières protégent les différences culturelles"
753,"Il_faut_%C3%A0_terme_abolir_les_fronti%C3%A8res","Il faut à terme abolir les frontières"
754,"La_classe_ouvri%C3%A8re_s%27est_d%C3%A9j%C3%A0_empar%C3%A9e_du_pouvoir_dans_l%27Histoire","Elle s'est déjà emparée du pouvoir"
755,"La_classe_ouvri%C3%A8re_a_terroris%C3%A9_la_bourgeoisie_%C3%A0_diverses_reprises","Elle a terrorisé la bourgeoisie à diverses reprises"
756,"leaf_139","Elle a une longue et riche histoire de luttes"
757,"La_classe_ouvri%C3%A8re_est_%C3%A0_l%27origine_des_plus_grandes_avanc%C3%A9es_sociales_du_19e_et_20_si%C3%A8cles","Elle est à l'origine des plus grandes avancées sociales du 19e et 20 siècles"
758,"Ce_ne_sont_pas_l%27alcool_et_le_tabac_qui_sont_dangereux_mais_leur_abus","Ce ne sont pas l'alcool et le tabac qui sont dangereux mais leur abus"
759,"L%27alcool_et_le_tabac_sont_autoris%C3%A9s_alors_qu%E2%80%99ils_sont_plus_dangereux_que_le_cannabis","L'alcool et le tabac sont autorisés alors qu’ils sont plus dangereux"
760,"Autant_on_peut_boire_de_l%27alcool_sans_%C3%AAtre_saoul,_autant_le_but_de_fumer_du_cannabis_est_de_planer","Autant on peut boire de l'alcool sans être saoul, autant le but de fumer du cannabis est de planer"
761,"Le_vote_par_internet_n%27a_pas_vraiment_fait_diminuer_le_taux_d%27abstention_des_Fran%C3%A7ais_de_l%27%C3%A9tranger","Cela n'a pas vraiment fait diminuer le taux d'abstention des Français de l'étranger"
762,"L%27anonymat_d%C3%A9responsabilise","L'anonymat déresponsabilise"
763,"L%27anonymat_favorise_la_libert%C3%A9_d%27expression.","L'anonymat favorise la liberté d'expression."
764,"L%C3%A9nine_a_instaur%C3%A9_la_terreur_d%C3%A8s_d%C3%A9cembre_1917_avec_la_cr%C3%A9ation_de_la_Tch%C3%A9ka","Dès décembre 1917 avec la création de la Tchéka"
765,"L%C3%A9nine_a_instaur%C3%A9_la_terreur_d%C3%A8s_son_arriv%C3%A9e_au_pouvoir","Lénine a instauré la Terreur rouge dès 1918"
766,"La_Tch%C3%A9ka_a_proc%C3%A9d%C3%A9_%C3%A0_de_nombreuses_ex%C3%A9cutions_sommaires_%C3%A0_partir_de_f%C3%A9vrier_1918_en_Russie","À partir de février 1918 : de nombreuses exécutions sommaires"
767,"L%C3%A9nine_a_instaur%C3%A9_la_terreur_en_avril-mai_1918_en_Crim%C3%A9e","En avril-mai 1918 en Crimée"
768,"L%C3%A9nine_a_instaur%C3%A9_les_premi%C3%A8res_mesures_du_communisme_de_guerre_d%C3%A8s_mai-juin_1918","En mai-juin 1918 : les premières mesures du communisme de guerre"
769,"L%C3%A9nine_a_instaur%C3%A9_la_Terreur_rouge_en_ao%C3%BBt_1918","Lénine a instauré la Terreur rouge en août 1918"
770,"La_terreur_blanche,_occult%C3%A9e_dans_ce_dossier,_a_largement_pr%C3%A9c%C3%A9d%C3%A9_la_terreur_rouge","Il fallut dix mois pour que les Bolcheviks se décidassent, en réaction à la terreur Blanche occultée dans ce débat, et à l'assassinat SR de gauche en juillet 1918 du diplomate allemand Von Mirbach"
771,"En_cas_de_l%C3%A9galisation_du_cannabis,_les_trafics_se_reporteraient_sur_d%27autres_produits,_%C3%A0_moins_de_l%C3%A9galiser_toutes_les_drogues,_ce_qui_parait_difficile","Les trafics se reporteraient sur d'autres produits. Pour que cela n'arrive pas, il faudrait légaliser toutes les drogues, ce qui parait difficile"
772,"La_l%C3%A9galisation_du_cannabis_mettrait_fin_aux_trafics","La légalisation mettrait fin aux trafics"
773,"Il_y_aura_toujours_un_march%C3%A9_prohib%C3%A9_du_cannabis,_le_march%C3%A9_destin%C3%A9_aux_mineurs","Il y aura toujours un marché prohibé, le marché destiné aux mineurs"
774,"Si_le_cannabis_est_l%C3%A9galis%C3%A9_avec_des_restrictions_(interdiction_des_produits_fortement_dos%C3%A9s_en_THC,_fichage_des_consommateurs...),_certains_consommateurs_continueront_%C3%A0_se_fournir_au_march%C3%A9_noir","Si la loi est trop restrictive (interdiction des produits fortement dosés en THC, fichage des consommateurs...), certains consommateurs continueront à se fournir au marché noir"
775,"Comme_on_le_constate_avec_le_tabac,_si_le_prix_du_cannabis_l%C3%A9galis%C3%A9_est_trop_%C3%A9lev%C3%A9,_le_march%C3%A9_noir_va_se_maintenir","Comme on le constate avec le tabac, si le prix est trop élevé, le marché noir va se maintenir"
776,"leaf_140","Un scrutin proportionnel est instable"
777,"La_question_du_voile_islamique_est_une_obsession_fran%C3%A7aise","La question du voile est une obsession française"
778,"La_question_du_voile_est_utilis%C3%A9e_%C3%A0_des_fins_de_division_et_de_diversion","La question du voile est utilisée à des fins de division et de diversion"
779,"La_campagne_contre_le_voile_islamique_est_une_campagne_raciste_et_islamophobe","La campagne contre le voile est une campagne raciste et islamophobe"
780,"La_campagne_contre_le_voile_islamique_sert_%C3%A0_nous_d%C3%A9tourner_des_probl%C3%A8mes_sociaux","La campagne contre le voile sert à nous détourner des problèmes sociaux"
781,"leaf_141","Le marché a évolué"
782,"Les_salaires_des_footballeurs_professionnels_n%27ont_pas_besoin_d%27%C3%AAtre_aussi_%C3%A9lev%C3%A9s","De tels niveaux de salaire ne sont pas nécessaires"
783,"Les_pays_qui_ont_abandonn%C3%A9_le_vote_%C3%A9lectronique_projettent_de_s%27y_r%C3%A9engager_%C3%A0_moyen_terme","Ces pays projettent de s'y réengager à moyen terme"
784,"Le_vote_%C3%A9lectronique_a_%C3%A9t%C3%A9_abandonn%C3%A9_par_la_plupart_des_pays_qui_l%27ont_exp%C3%A9riment%C3%A9","Le vote électronique a été abandonné par la plupart des pays qui l'ont expérimenté"
785,"D%27autres_pays_s%27engagent_%C3%A0_exp%C3%A9rimenter_le_vote_%C3%A9lectronique","D'autres pays s'y engagent dès maintenant"
786,"L%27Estonie_a_instaur%C3%A9_le_vote_par_internet_depuis_2005","L'Estonie a instauré le vote par internet depuis 2005"
787,"leaf_142","Le devoir de réserve est contraire au droit de grève"
788,"Il_faut_assurer_le_devoir_de_r%C3%A9serve_des_fonctionnaires","Par le devoir de réserve"
789,"leaf_143","Des coûts d'investissement élevés"
790,"Un_d%C3%A9sastre_financier","Un désastre financier"
791,"Des_co%C3%BBts_d%27entretien_%C3%A9lev%C3%A9s","Des coûts d'entretien élevés"
792,"La_militarisation_du_travail_a_%C3%A9t%C3%A9_catastrophique_dans_la_r%C3%A9gion_du_Donbass","Une catastrophe humaine dans la région du Donbass"
793,"L%C3%A9nine_a_militaris%C3%A9_le_travail","Lénine a militarisé le travail"
794,"Trotski_a_th%C3%A9oris%C3%A9_la_militarisation_du_travail","Une militarisation théorisée par Trotski"
795,"La_militarisation_du_travail_est_une_pr%C3%A9figuration_sous_L%C3%A9nine_du_travail_forc%C3%A9_instaur%C3%A9_par_Staline","Une préfiguration du travail forcé instauré par Staline"
796,"Le_contr%C3%B4le_informatique_des_machines_%C3%A0_voter_ne_doit_pas_%C3%AAtre_r%C3%A9serv%C3%A9_%C3%A0_des_experts","Un contrôle informatique réservé à des experts"
797,"Les_machines_%C3%A0_voter_peuvent_avoir_un_code_source_libre_et_ouvert","Les machines à voter peuvent avoir un code source libre et ouvert"
798,"Il_n%27y_a_pas_de_garantie_que_les_logiciels_libres_promus_pour_le_vote_%C3%A9lectronique_soient_ceux_effectivement_utilis%C3%A9s","Il n'y a pas de garantie que les logiciels libres promus soient ceux effectivement utilisés"
799,"Les_solutions_techniques_aux_probl%C3%A8mes_pos%C3%A9s_par_le_vote_%C3%A9lectronique_reviennent_%C3%A0_faire_compliqu%C3%A9_quand_on_peut_faire_simple","Faire compliqué quand on peut faire simple"
800,"Il_est_contradictoire_de_dire_%22Je_ne_suis_pas_la_seule_v%C3%A9rit%C3%A9%22","Il est contradictoire de dire 'Je ne suis pas la seule vérité'"
801,"Les_religions_sont_exclusives","Les religions sont exclusives"
802,"Le_revenu_de_base_va_%C3%A0_l%27encontre_de_diverses_revendications_collectives","Une mesure à l'encontre de diverses revendications collectives"
803,"Le_revenu_de_base_est_un_mauvais_combat_politique","Un mauvais combat politique"
804,"La_revendication_d%27un_revenu_de_base_quel_qu%27en_soit_le_montant_est_dangereuse","Une revendication trop imprécise"
805,"La_lutte_pour_un_revenu_de_base_ne_doit_pas_remplacer_celle_pour_le_plein-emploi","L'abandon de la lutte pour le plein-emploi"
806,"La_lutte_pour_un_revenu_de_base_ne_doit_pas_remplacer_celle_pour_une_meilleure_protection_sociale","L'abandon de la lutte pour une meilleure protection sociale"
807,"Le_revenu_de_base_agit_comme_une_roue_de_secours_du_capitalisme","Une roue de secours du capitalisme"
808,"D%27autres_revendications_sont_%C3%A0_pr%C3%A9f%C3%A9rer_%C3%A0_celle_d%27un_revenu_de_base","Plutôt qu'un revenu de base, d'autres revendications"
809,"Le_revenu_de_base_est_une_mesure_politique_appliquable_d%C3%A8s_maintenant","Un dispositif appliquable dès maintenant"
810,"leaf_144","Les syndicats et partis ouvriers ont perdu leurs adhérents et leurs militants"
811,"leaf_145","Les syndicats et partis ouvriers sont contre-révolutionnaires"
812,"Le_discr%C3%A9dit_des_organisations_ouvri%C3%A8res_r%C3%A9formistes_laisse_une_place_pour_reconstruire_des_organisations_r%C3%A9volutionnaires","Le discrédit des organisations ouvrières réformistes laisse une place pour reconstruire des organisations révolutionnaires"
813,"leaf_146","Les directions du mouvement ouvrier ont mené une politique contre-révolutionnaire"
814,"Les_syndicats_servent_%C3%A0_contenir_voire_freiner_la_contestation","Les syndicats servent à contenir voire freiner la contestation"
815,"La_faiblesse_des_organisations_ouvri%C3%A8res_r%C3%A9formistes_laisse_plus_de_place_aux_mouvements_r%C3%A9volutionnaires","La faiblesse des organisations ouvrières réformistes laisse plus de place aux mouvements révolutionnaires"
816,"La_faiblesse_des_organisations_ouvri%C3%A8res_actuelles_n%27emp%C3%AAchera_pas_leur_reconstruction","La faiblesse des organisations ouvrières actuelles n'empêchera pas leur reconstruction"
817,"On_retrouve_des_formes_de_march%C3%A9_dans_toutes_les_soci%C3%A9t%C3%A9s_humaines","On retrouve des formes de marché dans toutes les sociétés humaines"
818,"Le_capitalisme_a_un_fondement_naturel","Le capitalisme a un fondement naturel"
819,"L%27%C3%AAtre_humain_est_comp%C3%A9titeur","L'être humain est compétiteur"
820,"leaf_147","L'être humain est égoïste"
821,"leaf_148","La vie est une lutte pour la survie"
822,"Forme_de_march%C3%A9_n%27est_pas_synonyme_de_capitalisme","Forme de marché n'est pas synonyme de capitalisme"
823,"L%27argument_du_%22fondement_naturel%22_est_un_sophisme_(argument_fallacieux)","L'argument du 'fondement naturel' est un sophisme (argument fallacieux)"
824,"Manger_des_animaux_conduit_%C3%A0_infliger_aux_animaux_d%27%C3%A9levage_une_violence_source_de_nombreuses_souffrances_sur_les_poulets","Sur les poulets"
825,"Manger_des_animaux_conduit_%C3%A0_infliger_aux_animaux_d%27%C3%A9levage_une_violence_source_de_nombreuses_souffrances","L'élevage intensif cause de nombreuses souffrances aux animaux"
826,"Manger_des_animaux_conduit_%C3%A0_infliger_aux_animaux_d%27%C3%A9levage_une_violence_source_de_nombreuses_souffrances_sur_les_cochons","Sur les cochons"
827,"Manger_des_animaux_conduit_%C3%A0_infliger_aux_animaux_d%27%C3%A9levage_une_violence_source_de_nombreuses_souffrances_sur_le_b%C3%A9tail","Sur le bétail"
828,"Manger_des_animaux_conduit_%C3%A0_infliger_aux_animaux_d%27%C3%A9levage_une_violence_source_de_nombreuses_souffrances_sur_les_saumons","Sur les saumons"
829,"Manger_des_animaux_conduit_%C3%A0_infliger_aux_animaux_d%27%C3%A9levage_une_violence_source_de_nombreuses_souffrances_quels_que_soient_les_animaux","Quels que soient les animaux"
830,"On_ne_peut_pas_caract%C3%A9riser_la_souffrance_animale","On ne peut pas caractériser la souffrance animale"
831,"L%27%C3%A9levage_intensif_a_chang%C3%A9_notre_rapport_au_bien-%C3%AAtre_des_animaux","L'élevage intensif a changé notre rapport au bien-être des animaux"
832,"Des_mesures_de_s%C3%A9curit%C3%A9_existent_pour_les_machines_%C3%A0_voter","Des mesures de sécurité existent"
833,"Il_est_impossible_de_v%C3%A9rifier_si_notre_vote_a_%C3%A9t%C3%A9_respect%C3%A9","Il est impossible de vérifier si notre vote a été respecté"
834,"La_libert%C3%A9_de_circulation_est_un_droit_de_l%27homme","La liberté de circulation est un droit de l'homme"
835,"Les_fronti%C3%A8res_entravent_la_libre_circulation_des_individus","Les frontières entravent la libre circulation des individus"
