,debate_name,debate_num,n,s
737, L'Europe occidentale est-elle en déclin ?,19,2289,
738, Lénine est-il le précurseur de Staline ?,28,1768, Des marins lettons et estoniens hostiles à la révolution s'étaient réfugiés à Kronstadt
739, L'Europe occidentale est-elle en déclin ?,19,128, La France n'est pas une dictature
740, L'Europe occidentale est-elle en déclin ?,19,2552,L'élection n'est pas démocratique mais aristocratique
741, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1747," À la sortie de la Deuxième Guerre mondiale, la CGT a déclenché des grèves dures"
742, Sommes-nous libres de nos décisions ?,45,251, Les comportements humains sont réguliers et prévisibles
743, Faut-il accueillir davantage de migrants ?,3,1538, Les migrants devraient être exemplaires car ils sont en situation d'invités
744, Lénine est-il le précurseur de Staline ?,28,181, Lénine a théorisé et revendiqué la terreur de masse
745, Le réchauffement climatique est-il dû à l'activité humaine ?,34,529, L'effet de serre terrestre est saturé
746, Le logiciel libre est-il en déclin ?,30,57, Des grosses entreprises telles que Microsoft ou Google s'intéressent à l'open-source
747, L'Europe occidentale est-elle en déclin ?,19,1555, Le spectaculaire et l'anecdotique sont préférés à l'information
748, La religion est-elle compatible avec le marxisme ?,27,1795,Les religions prônent l'unité des hommes par-delà les classes
749, Faut-il légaliser le cannabis ?,11,517, L'alcool et le tabac sont autorisés alors qu’ils sont plus dangereux que le cannabis
750, Faut-il généraliser le vote électronique ?,7,970, Le vote électronique a suscité un faible taux de participation dans les expériences menées
751, La liberté d'expression doit-elle être limitée ?,24,24, La liberté d'expression doit-elle être limitée ?
752, Lénine est-il le précurseur de Staline ?,28,1339, La question de l'insurrection bolchévik était publiquement débattue dès septembre 1917
753, Faut-il accueillir davantage de migrants ?,3,1172, Il existe des partis de gauche qui sont rétifs aux vagues de migrants
754, Pour ou contre le capitalisme ?,40,2345,L'être humain est égoïste
755, L'Europe occidentale est-elle en déclin ?,19,454, Il existe un pluralisme syndical en France
756, Le Front national est-il un parti fasciste ?,29,2206,Le FN n'a actuellement pas de milices armées
757, Lénine est-il le précurseur de Staline ?,28,1417," Le communisme de la III eme Internationale est né en mars 1919 par rejet, formulé déjà par Lénine le 20 août 1918, de la guerre mondiale du capitalisme qui avait tué 10 millions de gens et estropié le double"
758, Faut-il accueillir davantage de migrants ?,3,2241,L'esclavage a été pratiqué à aussi grande échelle par le monde arabe
759, La liberté d'expression doit-elle être limitée ?,24,131, La liberté d'expression doit être maximale
760, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1725, Les études universitaires sont de plus en plus déterminées par les lois du marché
761, La liberté d'expression doit-elle être limitée ?,24,1464, Les adultes consentants font ce qu'ils veulent
762, Les hommes doivent-ils rejoindre le combat féministe ?,37,256, Les femmes ont besoin des hommes pour en finir avec le sexisme
763, Faut-il instaurer un revenu de base ?,9,1315, La lutte contre la pauvreté nécessite un accompagnement par des personnes formées et bienveillantes
764, La liberté d'expression doit-elle être limitée ?,24,1661, Vouloir éradiquer la haine conduit à un régime de censure
765, Lénine est-il le précurseur de Staline ?,28,1400, Le 20 aout 1918 Lénine désapprouve les terreurs française de 1793 et britannique de 1649
766, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,116, La classe ouvrière a la force et le savoir-faire économiques
767, Lénine est-il le précurseur de Staline ?,28,756, Le parti léniniste est inspiré d'organisations proto-totalitaires
768, Faut-il arrêter de manger des animaux ?,4,322, Manger des animaux conduit à infliger aux animaux d'élevage une violence source de nombreuses souffrances
769, Faut-il légaliser le cannabis ?,11,1209, Il y a des signes de fléchissement de la consommation de cannabis
770, Faut-il instaurer un revenu de base ?,9,1514, Les expérimentations et sondages autour du revenu de base tendent à montrer que le nombre d'heures travaillées baisserait peu
771, Dieu existe-t-il ?,0,2065,
772, Faut-il arrêter de manger des animaux ?,4,2505,"Pas de traitement préventif, administration d'antibiotiques au cas par cas"
773, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,391, Dans la lutte contre l'islamophobie il y a des organisations antisémites
774, Faut-il incinérer les déchets ménagers à La Réunion ?,8,2445,Des coûts d'investissement élevés
775, Pour ou contre le capitalisme ?,40,725, Le capitalisme est capable de surmonter la crise écologique
776, Lénine est-il le précurseur de Staline ?,28,1375, Lénine a violemment réprimé les anarchistes de Kronstadt
777, Les religions se rejoignent-elles ?,38,1425, Le judaïsme condamne le culte rendu à d'autres dieux que Yahvé
778, Dieu existe-t-il ? (nouvelle version),1,555, L'univers n'a pas de commencement
779, Le nucléaire est-il une énergie d'avenir ?,33,2515,C'est l'une des énergies qui consomme le moins de ressource
780, La gauche doit-elle défendre le port du voile islamique ?,23,2238,Le voile n'est qu'un vêtement comme un autre
781, Les hommes doivent-ils rejoindre le combat féministe ?,37,2494,Les hommes ont intérêt à conserver leur rôle de dominants dans les rapports de séduction
782, La croyance en Dieu est-elle bénéfique ?,22,1836,La croyance en Dieu permet la sainteté
783, Faut-il privatiser ADP ?,14,186, L’Etat n’est pas le plus qualifié pour gérer des aéroports
784, Les religions se rejoignent-elles ?,38,1166, Il est possible de dégager des critères pour hiérarchiser les expériences mystiques
785, Faut-il accueillir davantage de migrants ?,3,185, L’accueil de migrants va contre la volonté populaire
786, Les hommes doivent-ils rejoindre le combat féministe ?,37,843, Les hommes ont intérêt à en finir avec le machisme pour assumer leur sensibilité et leurs émotions
787, La liberté d'expression doit-elle être limitée ?,24,618, La liberté d'expression est optimale dans les démocraties occidentales
788, Pour ou contre le capitalisme ?,40,2137,Le développement capitaliste contribue à la pollution de l'environnement
789, Faut-il arrêter de manger des animaux ?,4,1120, Ce qui est naturel n'est pas ce qui est bien
790, La liberté d'expression doit-elle être totale ?,25,617, La liberté d'expression doit être totale pour pouvoir dénoncer les abus
791, Faut-il accueillir davantage de migrants ?,3,1027, On a suffisamment réparé nos crimes passés
792, La liberté d'expression doit-elle être limitée ?,24,2188,Il faut protéger le droit de citation
793, Une spiritualité rationnelle est-elle possible ?,46,2411,Les affirmations de la spiritualité sont invérifiables
794, Faut-il arrêter de manger des animaux ?,4,478, Il faut revoir la définition de l'animalité
795, Lénine est-il le précurseur de Staline ?,28,2533,Depuis quand est-il criminel de prendre aux riches pour redistribuer aux pauvres ?
796, Faut-il accueillir davantage de migrants ?,3,1033, On fait venir des millions d'hommes déracinés qui s'intégreront difficilement
797, L'Europe occidentale est-elle en déclin ?,19,125, La démocratie véritable est la démocratie directe
798, Faut-il instaurer un revenu de base ?,9,233, Le revenu de base apporte de meilleures conditions de vie
799, Faut-il instaurer un revenu de base ?,9,1633, Rétribuer le « travail invisible » par un revenu de base est une incitation au travail gratuit
800, Faut-il supprimer les notes à l'école ?,18,274, Les notes motivent les élèves à travailler
801, Faut-il généraliser le vote électronique ?,7,1079, Tout le monde n'est pas équipé d'un ordinateur connecté pour voter par internet
802, Faut-il généraliser le vote électronique ?,7,984, Le vote électronique permet un décompte des votes plus rapide que le vote papier
803, Les religions se rejoignent-elles ?,38,287, Les religions s'opposent sur des questions essentielles
804, Faut-il accueillir davantage de migrants ?,3,1540, Les migrants occupent les travaux les plus durs et les moins bien payés
805, Dieu existe-t-il ? (nouvelle version),1,1249, L'idée d'un temps sans commencement est inconcevable car contradictoire
806, La liberté d'expression doit-elle être limitée ?,24,2268,Le devoir de réserve est contraire au droit de grève
807, Dieu existe-t-il ?,0,2006,
808, Dieu existe-t-il ? (nouvelle version),1,2255,La science ne poura jamais expliquer certains phénomènes fondamentaux comme la vie ou la conscience
809, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,662, La révolution viendra des marginaux
810, Faut-il accueillir davantage de migrants ?,3,1036, On ne peut pas attribuer aux migrants les agressions commises par les descendants d'immigrés
811, Les hommes doivent-ils rejoindre le combat féministe ?,37,261, Les hommes ne peuvent rester indifférents face aux discriminations et aux violences faites aux femmes
812, Le Front national est-il un parti fasciste ?,29,29, Le Front national est-il un parti fasciste ?
813, Les religions se rejoignent-elles ?,38,1552, Le soufisme a été parfois combattu par d'autres courants de l'islam
814, Pour ou contre le communisme ?,41,204, Le communisme est dangereux
815, Faut-il boycotter Facebook ?,5,67, Facebook est un outil d'expression
816, Faut-il généraliser le vote électronique ?,7,365, Avec le vote électronique il ne peut y avoir de bourrage d'urnes comme dans le vote papier
817, Dieu existe-t-il ?,0,2093,
818, La liberté d'expression doit-elle être limitée ?,24,1504, Les discours préparent et inspirent les actes
819, Lénine est-il le précurseur de Staline ?,28,1742, Makhno s'est appuyé sur la petite-bourgeoisie koulak réactionnaire
820, Les religions se rejoignent-elles ?,38,537, L'expérience spirituelle n'est pas une
821, Faut-il instaurer un revenu de base ?,9,445, Il est injuste que le revenu de base ne tienne pas compte du travail fourni par les personnes
822, La gauche doit-elle défendre le port du voile islamique ?,23,257, Les femmes voilées sont déjà bien assez stigmatisées dans la société française
823, Faut-il accueillir davantage de migrants ?,3,1109, C'est nous qui les avons fait venir
824, Lénine est-il le précurseur de Staline ?,28,1360, Lénine a entrepris la décosaquisation
825, Dieu existe-t-il ? (nouvelle version),1,2425,Les miracles sont des phénomènes paranormaux qui n'impliquent pas l'existence de Dieu
826, L'Europe occidentale est-elle en déclin ?,19,1238," L'élection de représentant rend, par définition, notre régime oligarchique."
827, Dieu existe-t-il ? (nouvelle version),1,1075," Tout a une cause, et Dieu en particulier"
828, Pour ou contre le capitalisme ?,40,2139,Le développement capitaliste contribue à l'exploitation animale
829, Faut-il accueillir davantage de migrants ?,3,1607, On n'a pas les moyens d'accueillir les migrants
830, Les religions se rejoignent-elles ?,38,1332, La plupart des grandes religions affirment qu'elles possèdent la vérité et que les autres se trompent
831, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,278, Les organisations ouvrières ont perdu leur base et leur légitimité
832, Lénine est-il le précurseur de Staline ?,28,1695, Lénine a ordonné l'exécution des bourgeois
833, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1688, La distinction entre travailleurs productifs et improductifs n'implique pas que les travailleurs improductifs soient moins combatifs ou révolutionnaires
834, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,1318," La lutte pour l'athéisme doit être subordonnée à la lutte des classes, sans quoi elle n'est qu'une lutte abstraite"
835, La liberté d'expression doit-elle être limitée ?,24,321, Limiter la liberté d'expression n'est pas nécessaire
836, Faut-il accueillir davantage de migrants ?,3,2527,On est pas obligé d'adopter l'éthique chrétienne
837, Faut-il généraliser le vote électronique ?,7,862," Les machines à voter ont un coût d'entretien, d'assistance et de formation"
838, Faut-il légaliser le cannabis ?,11,147, La loi de 1970 sur les drogues est inadaptée
839, Sommes-nous libres de nos décisions ?,45,334," Nous ne sommes pas libres de voler dans les airs, de respirer sous l'eau ni de vivre deux-cents ans"
840, La liberté d'expression doit-elle être totale ?,25,1308, La liberté d'expression entraine des abus
841, Faut-il légaliser le cannabis ?,11,721, Le cannabis potentialise les effets de l’alcool et du tabac
842, Faut-il supprimer les notes à l'école ?,18,2481,Les notes n'apprennent pas aux élèves à être autonomes
843, Faut-il se faire vacciner ?,16,16, Faut-il se faire vacciner ?
844, La liberté d'expression doit-elle être totale ?,25,1320, La menace de procès en diffamation nuit à la diffusion de l'information
845, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1738, Les travailleurs des services sont dans certains cas productifs
846, L'Europe occidentale est-elle en déclin ?,19,1522, Les hommes politiques servent les intérêts des industriels et des banquiers
847, L'Europe occidentale est-elle en déclin ?,19,2290,
848, Dieu existe-t-il ?,0,2072,
849, La liberté d'expression doit-elle être totale ?,25,855, Les individus sont doués de raison et capables de s'autocensurer
850, Lénine est-il le précurseur de Staline ?,28,1641," Tchitcherine, commissaire soviétique aux affaires étrangères, était apparenté aux Romanov"
851, La liberté d'expression doit-elle être totale ?,25,2306,L'influence des contenus violents sur les comportements n'est pas établie
852, Lénine est-il le précurseur de Staline ?,28,1392, Lénine considérait la guerre civile comme une guerre sans limite de moyens
853, Dieu existe-t-il ?,0,2086,
854, Le réchauffement climatique est-il dû à l'activité humaine ?,34,335, On constate des écarts de température entre les jours de semaine et les weekends
855, Faut-il instaurer un revenu de base ?,9,2236,Seul un financement par l'impôt direct réduit les inégalités
856, La liberté d'expression doit-elle être limitée ?,24,1251, L'incitation au terrorisme est une notion floue
857, Pour ou contre le communisme ?,41,2127,Le communisme est une société sans classes
858, La gauche doit-elle défendre le port du voile islamique ?,23,2352,Le voile n'est qu'un vêtement comme un autre
859, Le Front national est-il un parti fasciste ?,29,743," Le Front national n'est pas fasciste juste parce que ses dirigeants tiennent des propos racistes, xénophobes, antisémites ou homophobes"
860, Une spiritualité rationnelle est-elle possible ?,46,2410,La spiritualité n'implique rien de reproductible
861, Faut-il arrêter de manger des animaux ?,4,526, L'élevage intensif de porcs entraîne une dégradation de la valeur des biens immobiliers et du foncier
862, Pour ou contre le capitalisme ?,40,2138,Le développement capitaliste contribue aux dérèglements climatiques
863, Dieu existe-t-il ?,0,2115,
864, La liberté d'expression doit-elle être limitée ?,24,318, Limiter la liberté d'expression est antidémocratique
865, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1200, Il ne faut pas confondre blocage de la circulation et blocage de la production
866, Pour ou contre le capitalisme ?,40,197, Le capitalisme est le garant des libertés individuelles
867, Dieu existe-t-il ?,0,2095,
868, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1446, Le rôle des rayons cosmiques dans la création des noyaux de condensation est remis en question
869, Pour ou contre le communisme ?,41,730, Le communisme est un régime criminel
870, Pour ou contre le capitalisme ?,40,436, Forme de marché n'est pas synonyme de capitalisme
871, Faut-il privatiser ADP ?,14,370, C’est à l’Etat de gérer les aéroports parce que ce sont des infrastructures stratégiques
872, La liberté d'expression doit-elle être limitée ?,24,1237, L'école échoue à développer l'esprit critique
873, Pour ou contre le capitalisme ?,40,1682, Gaspillage alimentaire
874, Faut-il accueillir davantage de migrants ?,3,876, Les migrants prennent le travail des Français
875, Dieu existe-t-il ?,0,2026,
876, Lénine est-il le précurseur de Staline ?,28,179, Lénine a créé les instruments de la terreur stalinienne
877, La liberté d'expression doit-elle être totale ?,25,1496, Les contenus influencent les spectateurs
878, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,800, Les acteurs de la lutte contre l'islamophobie sont anticapitalistes
879, Lénine est-il le précurseur de Staline ?,28,708, Lénine était empli d'un immense désir de vengeance
880, Les religions se rejoignent-elles ?,38,536, L'expérience mystique inclut une dimension cognitive et morale
881, La liberté d'expression doit-elle être limitée ?,24,475, Il faut limiter la liberté d'expression pour respecter le droit d'auteur
882, La liberté d'expression doit-elle être limitée ?,24,1523, Les humains sont influençables
883, Pour ou contre le capitalisme ?,40,1055, Plus de 2 milliards de personnes n'ont pas accès à une nourriture satisfaisante
884, Les hommes doivent-ils rejoindre le combat féministe ?,37,2144,"De nombreuses victimes n'osent pas parler des violences qu'elles ont subies, encore moins aux hommes"
885, Faut-il légaliser le cannabis ?,11,609, La légalisation du cannabis peut faire baisser la mortalité par overdose d'opiacés
886, Lénine est-il le précurseur de Staline ?,28,695, Lénine a réprimé certaines personnes pour leur seule appartenance de classe
887, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,567, La classe ouvrière a la conscience révolutionnaire du fait de sa concentration dans les villes et les lieux de travail
888, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1053, Participe à la lutte contre le changement climatique
889, Faut-il accueillir davantage de migrants ?,3,1906,Les migrants s'adaptent à nos façons de vivre et se sécularisent
890, Lénine est-il le précurseur de Staline ?,28,717, Lénine savait qu'il ne pouvait prendre le pouvoir de façon démocratique
891, Faut-il accueillir davantage de migrants ?,3,516, L'afflux de migrants tire les salaires vers le bas
892, Lénine est-il le précurseur de Staline ?,28,1699, Lénine a violemment réprimé les ouvriers d'Astrakhan au printemps 1919
893, Le nucléaire est-il une énergie d'avenir ?,33,2518,Des ressources pouvant subvenir aux besoins de l'humanité pour plusieurs millénaires si l'on considère la surgénération.
894, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,113, L'islam est la religion des opprimés
895, Lénine est-il le précurseur de Staline ?,28,693, Lénine a organisé un contrôle social par le travail
896, L'Europe occidentale est-elle en déclin ?,19,1344, La République française est marquée par de nombreuses affaires de corruption
897, La liberté d'expression doit-elle être totale ?,25,1609, On ne peut accepter les contenus opposés aux valeurs qui fondent notre société
898, Le logiciel libre est-il en déclin ?,30,2247,Il faut bien financer les développeurs
899, La liberté d'expression doit-elle être totale ?,25,1220, Interdire des discours ne lutte pas contre les vraies causes des discriminations et de la haine
900, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2510,Du fait de la fin des ouvriers professionnels
901, Faut-il arrêter de manger des animaux ?,4,2564,Le système de l'élevage industriel ne serait plus rentable
902, La liberté d'expression doit-elle être totale ?,25,469, Il faut limiter la liberté d'expression pour lutter contre les propos incitant à la haine
903, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1580, Le travail intellectuel s'est prolétarisé
904, La liberté d'expression doit-elle être totale ?,25,2534,Le droit d'auteur est injuste
905, La liberté d'expression doit-elle être totale ?,25,462, Il faut limiter la liberté d'expression pour lutter contre la pornographie
906, Les religions se rejoignent-elles ?,38,925, Les religions préconisent des voies différentes
907, Faut-il accueillir davantage de migrants ?,3,870, Les migrants bénéficient d'aides sociales sans rien faire
908, Faut-il instaurer un revenu de base ?,9,1955,"Le revenu universel n'impose pas du tout la disparition des assurances publiques (chômage, retraite, santé)"
909, La liberté d'expression doit-elle être limitée ?,24,1546, Les nouvelles technologies permettent un contrôle généralisé
910, Lénine est-il le précurseur de Staline ?,28,1321, La militarisation du travail a été catastrophique dans la région du Donbass
911, L'Europe occidentale est-elle en déclin ?,19,282," Les pouvoirs législatif, exécutif et législatif sont indépendants en France"
912, Faut-il accueillir davantage de migrants ?,3,1045, On ne peut pas tolérer les camps de rétention pour les migrants
913, La liberté d'expression doit-elle être totale ?,25,2467,Il peut être utile de connaitre la vie privée des personnes publiques
914, Faut-il instaurer un revenu de base ?,9,2232,Persistance des inégalités de capital économique
915, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1247, L'hypothèse d'une influence de l'activité solaire sur le réchauffement climatique se base sur des données erronées
916, Dieu existe-t-il ? (nouvelle version),1,1250, L'idée de création à partir du néant est absurde
917, Faut-il légaliser le cannabis ?,11,654, La prohibition du cannabis ne donne aucune garantie de qualité des produits
918, Faut-il accueillir davantage de migrants ?,3,2214,Ils se séculariseront
919, Le Front national est-il un parti fasciste ?,29,215," Le Front national est un parti raciste, xénophobe, antisémite et homophobe"
920, La liberté d'expression doit-elle être limitée ?,24,1110, C'est par la contrainte que les personnalités se développent
921, La religion est-elle compatible avec le marxisme ?,27,2330,Les religions sont responsables de nombreuses guerres
922, Dieu existe-t-il ? (nouvelle version),1,2149,Le monde a eu un commencement et par conséquent a une cause première
923, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2386,Les ouvriers sont électoralistes
924, Faut-il instaurer un revenu de base ?,9,778, Le revenu de base est une mesure adaptée à la situation de fin du travail
925, Faut-il légaliser le cannabis ?,11,937, Les sanctions contre les consommateurs de cannabis ne sont pas dissuasives
926, Les religions se rejoignent-elles ?,38,288, Les religions sont des chemins différents
927, Les religions se rejoignent-elles ?,38,498, Il y a des signes et des confirmations pour des religions différentes
928, Faut-il arrêter de manger des animaux ?,4,1005, Manger des animaux conduit à infliger aux animaux d'élevage une violence source de nombreuses souffrances sur les saumons
929, Lénine est-il le précurseur de Staline ?,28,1693, Lénine a ordonné des exécutions expéditives contre les Cosaques
930, Les hommes doivent-ils rejoindre le combat féministe ?,37,824, Le sexisme est omniprésent
931, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,597, La durée pour se prévaloir du défaut d'interprétariat est trop limitée
932, La liberté d'expression doit-elle être totale ?,25,1161, Il est dangereux de laisser les théories scientifiques hors de la morale
933, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,1501, Les différentes religions n'ont pas à être mises sur un pied d'égalité en termes de pouvoir
934, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,579, La classe ouvrière est en voie de disparition
935, Faut-il accueillir davantage de migrants ?,3,1520, Les frontières protégent les différences culturelles
936, Lénine est-il le précurseur de Staline ?,28,1444," Le Régime de Nicolas II était un régime proto-fasciste avec ses Cent-Noirs, tueurs d'opposants politiques et massacreurs de juifs"
937, Lénine est-il le précurseur de Staline ?,28,1704, Lénine a violemment réprimé les ouvriers de Toula au printemps 1919
938, Dieu existe-t-il ? (nouvelle version),1,418, Dieu existe car il ne peut y avoir un passé infini
939, Faut-il accueillir davantage de migrants ?,3,879," Les migrants sont des hommes jeunes, il est normal qu'il y ait parmi eux une part de délinquant"
940, Le Front national est-il un parti fasciste ?,29,218, Le Front national s'est dédiabolisé avec Marine Le Pen
941, L'Europe occidentale est-elle en déclin ?,19,2551,"Le scrutin est libre, secret et contrôlé"
942, Faut-il instaurer un revenu de base ?,9,1719, Le revenu de base est une mesure favorable aux employés dans certains secteurs
943, Dieu existe-t-il ?,0,2109,
944, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,42, Pour ou contre le projet de loi Collomb Asile et immigration ?
945, Lénine est-il le précurseur de Staline ?,28,697, Lénine assimilait la politique à la guerre
946, Lénine est-il le précurseur de Staline ?,28,698, Lénine a théorisé et réalisé l'épuration du parti
947, Faut-il instaurer un revenu de base ?,9,2184,L'injustice de la suppression du système de retraite
948, Le nucléaire est-il une énergie d'avenir ?,33,2523,La gestion des déchets nucléaires engage les générations futures sur plusieurs décennies
949, Le Front national est-il un parti fasciste ?,29,957, Le terme « populiste » n'est pas rigoureusement défini
950, Faut-il accueillir davantage de migrants ?,3,1300, La France est passée de 50 millions à 66 millions d'habitants en quelques décennies du fait de l'immigration
951, Pour ou contre le communisme ?,41,731, Le communisme est un régime de terreur
952, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1771, Les intellectuels défenseurs du capitalisme ne sont plus salariés par les entreprises mais par l'État
953, Faut-il accueillir davantage de migrants ?,3,1915,La France n'a pas les moyens économiques d'accueillir les migrants
954, La liberté d'expression doit-elle être totale ?,25,463, Il faut limiter la liberté d'expression pour lutter contre le blasphème
955, La liberté d'expression doit-elle être totale ?,25,614, La liberté d'expression doit être totale pour laisser les arts et l'humour s'épanouir
956, La gauche doit-elle défendre le port du voile islamique ?,23,816, Les défenseurs du voile islamique en France encouragent la répression des femmes non voilées dans les dictatures islamiques
957, Lénine est-il le précurseur de Staline ?,28,1684, L'introduction anticipée de la Nep n'aurait pas pu permettre d'apaiser les mutins de Kronstadt
958, Faut-il préserver les Murs à pêches de Montreuil ?,13,893, Le sol des Murs à pêches de Montreuil est peu propice à la construction de logements
959, Dieu existe-t-il ? (nouvelle version),1,60, Dieu est la cause première de l'univers
960, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,574, La classe ouvrière a perdu son pouvoir économique du fait de la tertiarisation de l'économie
961, Le logiciel libre est-il en déclin ?,30,2442,Les projets affichent rarement un guide à la contribution
962, Faut-il accueillir davantage de migrants ?,3,1916,Les migrants bénéficient d'aides sociales au détriment des Français
963, Les hommes doivent-ils rejoindre le combat féministe ?,37,263, Les hommes sont socialisés pour dominer les femmes
964, La liberté d'expression doit-elle être limitée ?,24,468, Il faut limiter la liberté d'expression pour lutter contre les manifestations risquant de troubler l'ordre public
965, Peut-on changer le monde sans prendre le pouvoir ?,39,347," Sans prendre le pouvoir, il n'y a pas de réel changement"
966, Pour ou contre le capitalisme ?,40,1160, Gaspillage des ressources
967, La liberté d'expression doit-elle être totale ?,25,1503, Les discours peuvent blesser
968, Lénine est-il le précurseur de Staline ?,28,1364, Lénine a fiché les intellectuels dès 1922
969, Wikipédia est-elle fiable ?,47,2421,Des milliers d'articles sont complets et sourcés
970, Faut-il préserver les Murs à pêches de Montreuil ?,13,591, La défense des Murs à pêches est une préoccupation de bobos
971, Dieu existe-t-il ? (nouvelle version),1,1243, L'existence de l'univers s'explique par la chaîne infinie des causes des évènements physiques
972, La religion est-elle compatible avec le marxisme ?,27,2546,L'esprit scientifique est lié au milieu socio-culturel
973, Faut-il se faire vacciner ?,16,1305, La justice anglaise a innocenté Wakefield et son collègue et a même reconnu que ses accusateurs (l'équivalent du conseil de l'ordre anglais) ont été malhonnêtes
974, La liberté d'expression doit-elle être limitée ?,24,382, Chacun doit faire preuve de tolérance
975, La liberté d'expression doit-elle être totale ?,25,85, Il faut limiter la liberté d'expression pour lutter contre les contenus choquants
976, La liberté d'expression doit-elle être totale ?,25,382, Chacun doit faire preuve de tolérance
977, Le logiciel libre est-il en déclin ?,30,2248,Les coûts matériels peuvent aussi être importants
978, Les footballeurs professionnels sont-ils trop payés ?,36,2191,Les salaires ne font qu'obéir à la loi de l'offre et de la demande
979, Faut-il arrêter de manger des animaux ?,4,4, Faut-il arrêter de manger des animaux ?
980, La liberté d'expression doit-elle être totale ?,25,615, La liberté d'expression doit être totale pour laisser les individus libres de se réaliser
981, La croyance en Dieu est-elle bénéfique ?,22,1845,La religion suppose des lois divines supérieures aux lois humaines
982, Les footballeurs professionnels sont-ils trop payés ?,36,1926,D'autres professions ont des carrières courtes
983, Faut-il incinérer les déchets ménagers à La Réunion ?,8,356, Un désastre financier
984, Faut-il accueillir davantage de migrants ?,3,2269,Les pays asiatiques subissent aussi l'impérialisme et pourtant ils ne produisent pas des millions de migrants
985, Faut-il se faire vacciner ?,16,1852,Certains vaccins sont inefficaces
986, La liberté d'expression doit-elle être totale ?,25,1331, La pensée est essentiellement personnelle
987, Dieu existe-t-il ?,0,1993,
988, La liberté d'expression doit-elle être limitée ?,24,1358, La vérité progresse en démêlant les sophismes
989, Dieu existe-t-il ?,0,2005,
990, Faut-il accueillir davantage de migrants ?,3,1034, On ne connaît pas l'identité précise de beaucoup des personnes que l'on accueille
991, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1554, Les paysans évoluent trop lentement
992, L'Europe occidentale est-elle en déclin ?,19,2256,Un scrutin proportionnel est instable
993, Lénine est-il le précurseur de Staline ?,28,177, La terreur bolchévik a été dictée par les circonstances
994, La liberté d'expression doit-elle être totale ?,25,1497," Les critiques de personnes concernant leur couleur de peau, leur religion, leur orientation sexuelle ou leur sexe ne sont pas des critiques comme les autres"
995, Faut-il généraliser le vote électronique ?,7,598, La fabrication et le recyclage des machines à voter et des serveurs nécessaires ont un coût écologique
996, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,448, Il est possible de demander l'effet suspensif en cas de suppression du droit de séjour
997, Dieu existe-t-il ? (nouvelle version),1,2313,Le langage humain émerge de la communication animale
998, Pour ou contre le communisme ?,41,1783,Le capitalisme est trop puissant
999, Pour ou contre le communisme ?,41,1778,On ne peut pas inventer un homme nouveau
1000, Faut-il se faire vacciner ?,16,304, Les vaccins protègent les personnes vaccinées contre de nombreuses maladies
1001, Faut-il accueillir davantage de migrants ?,3,2147,"En n'accueillant pas les migrants, l'Europe perd son âme et trahit ses valeurs"
1002, Dieu existe-t-il ?,0,2076,
1003, La liberté d'expression doit-elle être limitée ?,24,1149, Des systèmes de modération existent sur internet
1004, L'Europe occidentale est-elle en déclin ?,19,1556, Les petits partis ont un temps de parole très limité en France
1005, Pour ou contre le capitalisme ?,40,1948,Le capitalisme permet la marchandisation d'êtres humains
1006, Pour ou contre le communisme ?,41,2302,Le communisme est un monde sans frontières
1007, La gauche doit-elle défendre le port du voile islamique ?,23,955, Le terme « islamophobie » est ambigu
1008, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?,26,1335, La précocité des élèves avec la méthode Céline Alvarez ne peut pas être comparée
1009, Faut-il supprimer les notes à l'école ?,18,2304,La précision des notes n'est pas très utile
1010, Faut-il incinérer les déchets ménagers à La Réunion ?,8,355, Un appel aux déchets
1011, La liberté d'expression doit-elle être limitée ?,24,466, Il faut limiter la liberté d'expression pour lutter contre le racisme
